eng_full,no,title,year
GIFTED PROGRAM ADVOCACY - OVERHAULING BANDWAGONS TO BUILD SUPPORT    ,859.0,GIFTED PROGRAM ADVOCACY - OVERHAULING BANDWAGONS TO BUILD SUPPORT,1991.0
"ADVOCACY FOR GIFTED PROGRAMS IN THE NEW EDUCATIONAL CLIMATE   This article looks at gifted and talented education within the context of the ongoing discussions about educational reform. The author urges educators involved in gifted and talented education to become knowledgeable about the many efforts underway to improve education and to become active participants in the discussions underway at the local, state, and national level to transform American education. She argues that many of the innovations underway will have an impact on services to gifted and talented students.",860.0,ADVOCACY FOR GIFTED PROGRAMS IN THE NEW EDUCATIONAL CLIMATE,1991.0
PROGRAMS FOR GIFTED STUDENTS - ENLIGHTENED SELF-INTEREST    ,861.0,PROGRAMS FOR GIFTED STUDENTS - ENLIGHTENED SELF-INTEREST,1991.0
"ADVOCACY FOR GIFTED PROGRAMS - AN INTERVIEW WITH ROSENSTEIN,PETER,D.   Peter Rosenstein, Executive Director of the National Association for Gifted Children (NAGC) since October 1989, is an advocate for intellectually gifted and creatively gifted children and educational programs that can help them develop their talents and abilities to the fullest. In this article Mr. Rosenstein responds to specific questions from guest editor Peggy Dettmer about advocacy efforts in the field of gifted education.",862.0,"ADVOCACY FOR GIFTED PROGRAMS - AN INTERVIEW WITH ROSENSTEIN,PETER,D.",1991.0
"BUILDING ADVOCACY THROUGH PROGRAM DESIGN, STUDENT PRODUCTIVITY AND PUBLIC-RELATIONS   Building advocacy for programs serving high ability students should be a priority for all persons working in these programs. In this article, the process of building advocacy through the program itself, the superior products of participating students, and the continued commitment to public relations is introduced. Factors common to programs that have survived the current economic crisis in New England, including sustained advocacy efforts, are also discussed.",863.0,"BUILDING ADVOCACY THROUGH PROGRAM DESIGN, STUDENT PRODUCTIVITY AND PUBLIC-RELATIONS",1991.0
"DISSEMINATION BY DESIGN - A TOOL FOR ADVANCING GIFTED EDUCATION   This article presents an effective advocacy model which has been operating successfully in the state of Wisconsin for 3 years. Advocates, even in a state with meager or threatened resources, can strengthen their leadership force through ongoing collaboration and dissemination. Essential elements of the dissemination design are: establishment of regional sites, team requirements for participation, small- and large-group sharing and problem solving, and the preparation and presentation of exemplary practices. With these elements working by design, the model leads to advocacy that is consistent, constant, accessible, and visible. Although advocacy is never ending, bringing the right people together at the right time and in the right environment is a powerful tool for advancing gifted education.",864.0,DISSEMINATION BY DESIGN - A TOOL FOR ADVANCING GIFTED EDUCATION,1991.0
"GIFTED EDUCATION WITHOUT A STATE MANDATE - THE IMPORTANCE OF VIGOROUS ADVOCACY   Almost half of the states have mandates requiring differentiated instruction for gifted students. New York State, despite the lack of a mandate, has seen an increase in services for gifted students over the last 10 years. Factors that have promoted the development of programs for gifted students in the state are financial incentives, mandatory screening for giftedness, educational reform, and vigorous advocacy. Negative factors associated with the lack of a mandate have been inequities in access to programs, difficulties in assuring the quality of programs, and limited access to teacher preparation programs.",865.0,GIFTED EDUCATION WITHOUT A STATE MANDATE - THE IMPORTANCE OF VIGOROUS ADVOCACY,1991.0
"EDUCATIONAL PARTNERSHIPS - GIFTED PROGRAM ADVOCACY IN ACTION   As advocates for gifted programs, professionals in gifted child education and special education must work closely with school reform efforts to ensure that appropriate representation and service to gifted pupils are embedded within the reform framework. They should examine the development of partnerships and assess the strengths and weaknesses of collaboratives. They also should conduct research to strengthen the development of such efforts. This article discusses the critical elements of educational partnerships and presents an example of a partnership project designed to enhance educational opportunities for gifted children in an urban school setting.",866.0,EDUCATIONAL PARTNERSHIPS - GIFTED PROGRAM ADVOCACY IN ACTION,1991.0
"MEDIA RELATIONS - WHAT EVERY ADVOCATE SHOULD KNOW ABOUT THE TRICKS OF THE TRADE   Effective use of media is an essential component of gifted program advocacy. Strategies for using media effectively include cultivating contacts with media personnel, targeting newsworthy content, and selecting an appealing format in which to feature the content. A gifted program's image can be enhanced by employing the Driver-Rider Matrix concept. The author provides practical suggestions for writing news releases and features, making radio and television presentations, conducting news conferences, and preparing a newsletter.",867.0,MEDIA RELATIONS - WHAT EVERY ADVOCATE SHOULD KNOW ABOUT THE TRICKS OF THE TRADE,1991.0
From the editor: GIFTED EDUCATION NEEDS REFORM    ,868.0,From the editor: GIFTED EDUCATION NEEDS REFORM,1991.0
