eng_full,no,title,year
ASPIRATIONS AND DREAMS OF 3 GROUPS OF CREATIVELY GIFTED HIGH-SCHOOL SENIORS AND A COMPARABLE UNSELECTED GROUP    ,2242.0,ASPIRATIONS AND DREAMS OF 3 GROUPS OF CREATIVELY GIFTED HIGH-SCHOOL SENIORS AND A COMPARABLE UNSELECTED GROUP,1965.0
SELF-DISCOVERY PROJECT - ABSTRACT    ,2243.0,SELF-DISCOVERY PROJECT - ABSTRACT,1965.0
THE COUNSELOR AND THE CREATIVE CHILD    ,2244.0,THE COUNSELOR AND THE CREATIVE CHILD,1965.0
A NOTE ON 5TH-GRADE CHILDRENS VOCATIONAL WORLD AND CREATIVE-THINKING    ,2245.0,A NOTE ON 5TH-GRADE CHILDRENS VOCATIONAL WORLD AND CREATIVE-THINKING,1965.0
I WAS A GIFTED-CHILD - PERHAPS    ,2246.0,I WAS A GIFTED-CHILD - PERHAPS,1965.0
ON BEING A SUCCESSFUL TEACHER OF THE GIFTED    ,2247.0,ON BEING A SUCCESSFUL TEACHER OF THE GIFTED,1965.0
AN EVALUATION OF THE ATTITUDES OF ACADEMICALLY GIFTED STUDENTS TOWARDS THE HONORS PROGRAM IN A SUBURBAN HIGH-SCHOOL    ,2248.0,AN EVALUATION OF THE ATTITUDES OF ACADEMICALLY GIFTED STUDENTS TOWARDS THE HONORS PROGRAM IN A SUBURBAN HIGH-SCHOOL,1965.0
PSYCHOLOGICAL DETERMINANTS OF CAREER CHOICE FOR COLLEGE HONORS STUDENTS    ,2249.0,PSYCHOLOGICAL DETERMINANTS OF CAREER CHOICE FOR COLLEGE HONORS STUDENTS,1965.0
Psychological Determinants of Career Choice for College Honors Students    ,2250.0,Psychological Determinants of Career Choice for College Honors Students,1965.0
GIFT HORSES AND GIFTED-CHILDREN    ,2251.0,GIFT HORSES AND GIFTED-CHILDREN,1965.0
ARE GIRLS WORTH EDUCATING    ,2252.0,ARE GIRLS WORTH EDUCATING,1965.0
Book Review    ,2253.0,Book Review,1965.0
MENTAL-HEALTH PROBLEMS OF 3 GROUPS OF HIGHLY CREATIVE HIGH-SCHOOL SENIORS    ,2254.0,MENTAL-HEALTH PROBLEMS OF 3 GROUPS OF HIGHLY CREATIVE HIGH-SCHOOL SENIORS,1965.0
AN INSPIRING PROGRAM OF OCCUPATIONAL GUIDANCE FOR CULTURALLY DEPRIVED (CHIEFLY) CHINESE GIFTED-CHILDREN    ,2255.0,AN INSPIRING PROGRAM OF OCCUPATIONAL GUIDANCE FOR CULTURALLY DEPRIVED (CHIEFLY) CHINESE GIFTED-CHILDREN,1965.0
HUMAN-BEHAVIOR AS CURRICULAR SUBSTANCE - A PERSONAL DEVELOPMENT PROGRAM FOR GIFTED HIGH-SCHOOL STUDENTS    ,2256.0,HUMAN-BEHAVIOR AS CURRICULAR SUBSTANCE - A PERSONAL DEVELOPMENT PROGRAM FOR GIFTED HIGH-SCHOOL STUDENTS,1965.0
THE COUNSELORS ROLE IN WORKING WITH THE GIFTED    ,2257.0,THE COUNSELORS ROLE IN WORKING WITH THE GIFTED,1965.0
Parents Page: THE MAGIC CARPET    ,2258.0,Parents Page: THE MAGIC CARPET,1965.0
PARENTS - ARE YOUR CHILDREN CREATIVE    ,2259.0,PARENTS - ARE YOUR CHILDREN CREATIVE,1965.0
WHAT ABOUT CREATIVITY FOR THE PRE-SCHOOL CHILD    ,2260.0,WHAT ABOUT CREATIVITY FOR THE PRE-SCHOOL CHILD,1965.0
THE INFLUENCE OF EXAMINER-CHILD INTERACTION ON THE MEASUREMENT OF GIFTEDNESS    ,2261.0,THE INFLUENCE OF EXAMINER-CHILD INTERACTION ON THE MEASUREMENT OF GIFTEDNESS,1965.0
HYPNOSIS AND CREATIVITY    ,2262.0,HYPNOSIS AND CREATIVITY,1965.0
