eng_full,no,title,year
SOWING THE SEEDS FOR ARROGANCE    ,1418.0,SOWING THE SEEDS FOR ARROGANCE,1978.0
"Book review: FEMININE IMAGE IN LITERATURE - WARREN,B    ",1419.0,"Book review: FEMININE IMAGE IN LITERATURE - WARREN,B",1978.0
"Book review: FEMALE IMAGINATION - SPACKS,P    ",1420.0,"Book review: FEMALE IMAGINATION - SPACKS,P",1978.0
"Book review: GALTON,FRANCIS - LIFE AND WORK OF A VICTORIAN GENIUS - FORREST,DW    ",1421.0,"Book review: GALTON,FRANCIS - LIFE AND WORK OF A VICTORIAN GENIUS - FORREST,DW",1978.0
"Book review: IN SEARCH OF HUMAN EFFECTIVENESS - (IDENTIFYING AND DEVELOPING CREATIVITY) - MACKINNON,DW    ",1422.0,"Book review: IN SEARCH OF HUMAN EFFECTIVENESS - (IDENTIFYING AND DEVELOPING CREATIVITY) - MACKINNON,DW",1978.0
"Book review: IQ TESTS FOR CHILDREN - LUTTERJOHN,M    ",1423.0,"Book review: IQ TESTS FOR CHILDREN - LUTTERJOHN,M",1978.0
FREEING WOMENS CREATIVE POTENTIAL    ,1424.0,FREEING WOMENS CREATIVE POTENTIAL,1978.0
DIVINE DISCONTENT - PERSPECTIVE ON GIFTED WOMEN    ,1425.0,DIVINE DISCONTENT - PERSPECTIVE ON GIFTED WOMEN,1978.0
EARLY DEVELOPMENT OF A GIFTED YOUNG ARTIST    ,1426.0,EARLY DEVELOPMENT OF A GIFTED YOUNG ARTIST,1978.0
STUDENT-ATTITUDES TOWARD SPECIAL PROGRAMMING AND IDENTIFICATION    ,1427.0,STUDENT-ATTITUDES TOWARD SPECIAL PROGRAMMING AND IDENTIFICATION,1978.0
EFFECTS OF MARKS ON THE DEVELOPMENT OF ACADEMICALLY TALENTED ELEMENTARY PUPILS    ,1428.0,EFFECTS OF MARKS ON THE DEVELOPMENT OF ACADEMICALLY TALENTED ELEMENTARY PUPILS,1978.0
USE OF SOI ABILITIES FOR PREDICTION    ,1429.0,USE OF SOI ABILITIES FOR PREDICTION,1978.0
CREATIVE THINKING IN GIFTED ELEMENTARY-SCHOOL CHILDREN    ,1430.0,CREATIVE THINKING IN GIFTED ELEMENTARY-SCHOOL CHILDREN,1978.0
COMPARISON OF SEX-ROLES OF CREATIVE-PRODUCTIVE VERSUS NON-PRODUCTIVE WOMEN    ,1431.0,COMPARISON OF SEX-ROLES OF CREATIVE-PRODUCTIVE VERSUS NON-PRODUCTIVE WOMEN,1978.0
INITIAL STUDY OF CREATIVE (PRODUCTIVE) GIVEN UNDER THE BRUCH-MORSE MODEL    ,1432.0,INITIAL STUDY OF CREATIVE (PRODUCTIVE) GIVEN UNDER THE BRUCH-MORSE MODEL,1978.0
IS SEX-ROLE RELATED TO INTELLECTUAL ABILITIES    ,1433.0,IS SEX-ROLE RELATED TO INTELLECTUAL ABILITIES,1978.0
PERSONAL STUDIES OF GIFTED FEMALES - OVERVIEW AND COMMENTARY    ,1434.0,PERSONAL STUDIES OF GIFTED FEMALES - OVERVIEW AND COMMENTARY,1978.0
DISADVANTAGED AND HANDICAPPED GIFTED - PRESIDENTS MESSAGE    ,1435.0,DISADVANTAGED AND HANDICAPPED GIFTED - PRESIDENTS MESSAGE,1978.0
EDUCATION FOR GIFTED MINORITY-STUDENTS    ,1436.0,EDUCATION FOR GIFTED MINORITY-STUDENTS,1978.0
PARENT PERSPECTIVE - SOWING SEEDS FOR COOPERATION    ,1437.0,PARENT PERSPECTIVE - SOWING SEEDS FOR COOPERATION,1978.0
"Book review: TEACHING LANGUAGE ARTS CREATIVELY IN ELEMENTARY-SCHOOL - PILON,B    ",1438.0,"Book review: TEACHING LANGUAGE ARTS CREATIVELY IN ELEMENTARY-SCHOOL - PILON,B",1978.0
"Book review: EDUCATIONAL PROGRAMS AND INTELLECTUAL PRODIGIES - STANLEY,JG, STANLEY,WC, SOLANO,CH    ",1439.0,"Book review: EDUCATIONAL PROGRAMS AND INTELLECTUAL PRODIGIES - STANLEY,JG, STANLEY,WC, SOLANO,CH",1978.0
"Book review: PSYCHOLOGY OF GIFTED CHILDREN - VERNON,PE, ADAMSON,G, VERNON,DF    ",1440.0,"Book review: PSYCHOLOGY OF GIFTED CHILDREN - VERNON,PE, ADAMSON,G, VERNON,DF",1978.0
"Book review: 300 EMINENT PERSONALITIES - GOERTZEL,M, GOERTZEL,V, GOERTZEL,T    ",1441.0,"Book review: 300 EMINENT PERSONALITIES - GOERTZEL,M, GOERTZEL,V, GOERTZEL,T",1978.0
"Book review: COUNSELING INTELLECTUALLY GIFTED CHILD - ZIV,A    ",1442.0,"Book review: COUNSELING INTELLECTUALLY GIFTED CHILD - ZIV,A",1978.0
REPORT FOR USOE-TASK-FORCE ON GIFTED AND TALENTED EDUCATION    ,1443.0,REPORT FOR USOE-TASK-FORCE ON GIFTED AND TALENTED EDUCATION,1978.0
DARE WE HOPE AGAIN    ,1444.0,DARE WE HOPE AGAIN,1978.0
PERSONAL LEARNINGS - CURRENT SYNTHESIS ON CULTURALLY DIFFERENT GIFTED    ,1445.0,PERSONAL LEARNINGS - CURRENT SYNTHESIS ON CULTURALLY DIFFERENT GIFTED,1978.0
CAREER EXPECTATIONS OF PRIMARY GRADE CHILDREN RELATED TO SOCIOECONOMIC-STATUS    ,1446.0,CAREER EXPECTATIONS OF PRIMARY GRADE CHILDREN RELATED TO SOCIOECONOMIC-STATUS,1978.0
FACTORS COMPOUNDING HANDICAPPING OF SOME GIFTED CHILDREN    ,1447.0,FACTORS COMPOUNDING HANDICAPPING OF SOME GIFTED CHILDREN,1978.0
"CAREER-EDUCATION FOR DISADVANTAGED, GIFTED HIGH-SCHOOL STUDENTS    ",1448.0,"CAREER-EDUCATION FOR DISADVANTAGED, GIFTED HIGH-SCHOOL STUDENTS",1978.0
TEACHER-ASSESSMENT OF CREATIVE BEHAVIOR IN DISADVANTAGED-CHILDREN    ,1449.0,TEACHER-ASSESSMENT OF CREATIVE BEHAVIOR IN DISADVANTAGED-CHILDREN,1978.0
EQUAL EDUCATIONAL-OPPORTUNITY FOR GIFTED MINORITY-GROUP CHILDREN - PROMISE OR POSSIBILITY    ,1450.0,EQUAL EDUCATIONAL-OPPORTUNITY FOR GIFTED MINORITY-GROUP CHILDREN - PROMISE OR POSSIBILITY,1978.0
PROPOSED PLAN FOR IDENTIFYING BLACK GIFTED CHILDREN    ,1451.0,PROPOSED PLAN FOR IDENTIFYING BLACK GIFTED CHILDREN,1978.0
CATSKILLS SATURDAY SEMINARS UPDATED    ,1452.0,CATSKILLS SATURDAY SEMINARS UPDATED,1978.0
RECENT INSIGHTS ON CULTURALLY DIFFERENT GIFTED    ,1453.0,RECENT INSIGHTS ON CULTURALLY DIFFERENT GIFTED,1978.0
QUOTA SYSTEM FOR GIFTED MINORITY CHILDREN - VIABLE SOLUTION    ,1454.0,QUOTA SYSTEM FOR GIFTED MINORITY CHILDREN - VIABLE SOLUTION,1978.0
EQUAL EDUCATIONAL-OPPORTUNITY FOR GIFTED - IN SEARCH OF A LEGAL STANDARD    ,1455.0,EQUAL EDUCATIONAL-OPPORTUNITY FOR GIFTED - IN SEARCH OF A LEGAL STANDARD,1978.0
EARLY EDUCATION ADVANTAGES DECISIVE    ,1456.0,EARLY EDUCATION ADVANTAGES DECISIVE,1978.0
PREPARE NOW FOR APP EXAMINATIONS    ,1457.0,PREPARE NOW FOR APP EXAMINATIONS,1978.0
COGNITIVE CHARACTERISTICS OF TOP-SCORING 3RD OF 1976 TALENT SEARCH CONTESTANTS    ,1458.0,COGNITIVE CHARACTERISTICS OF TOP-SCORING 3RD OF 1976 TALENT SEARCH CONTESTANTS,1978.0
SOME SUGGESTIONS FOR PARENTS AND EDUCATORS ON HANDLING CREATIVE CHILD    ,1459.0,SOME SUGGESTIONS FOR PARENTS AND EDUCATORS ON HANDLING CREATIVE CHILD,1978.0
1/4 CENTURY OF NATIONWIDE ADVOCACY FOR GIFTED CHILDREN    ,1460.0,1/4 CENTURY OF NATIONWIDE ADVOCACY FOR GIFTED CHILDREN,1978.0
SOWING SEEDS FOR AGGRESSION    ,1461.0,SOWING SEEDS FOR AGGRESSION,1978.0
"Book review: GIFTED AND CREATIVE - 50-YEAR PERSPECTIVE - STANLEY,JC, GEORGE,WC, SOLANO,CH    ",1462.0,"Book review: GIFTED AND CREATIVE - 50-YEAR PERSPECTIVE - STANLEY,JC, GEORGE,WC, SOLANO,CH",1978.0
"Book review: CREATIVELY GIFTED CHILD - SUGGESTIONS FOR PARENTS AND TEACHERS - KHATENA,J    ",1463.0,"Book review: CREATIVELY GIFTED CHILD - SUGGESTIONS FOR PARENTS AND TEACHERS - KHATENA,J",1978.0
"Book review: UP IQ - HOW TO RAISE YOUR CHILDS INTELLIGENCE - JACOBS,P    ",1464.0,"Book review: UP IQ - HOW TO RAISE YOUR CHILDS INTELLIGENCE - JACOBS,P",1978.0
SELF-DIRECTED LEARNING READINESS SKILLS OF GIFTED STUDENTS AND THEIR RELATIONSHIP THINKING CREATIVELY ABOUT FUTURE    ,1465.0,SELF-DIRECTED LEARNING READINESS SKILLS OF GIFTED STUDENTS AND THEIR RELATIONSHIP THINKING CREATIVELY ABOUT FUTURE,1978.0
EMINENT GENIUS IN HISTORY - CRITICAL ROLE OF CREATIVE DEVELOPMENT    ,1466.0,EMINENT GENIUS IN HISTORY - CRITICAL ROLE OF CREATIVE DEVELOPMENT,1978.0
IQ CORRELATES WITH HIGH EMINENCE    ,1467.0,IQ CORRELATES WITH HIGH EMINENCE,1978.0
