eng_full,no,title,year
GUIDANCE SERVICES FOR THE GIFTED-CHILD IN THE ELEMENTARY-SCHOOL    ,2498.0,GUIDANCE SERVICES FOR THE GIFTED-CHILD IN THE ELEMENTARY-SCHOOL,1958.0
"Book Review: COMMON-SENSE ABOUT GIFTED-CHILDREN - KOUGH,J    ",2499.0,"Book Review: COMMON-SENSE ABOUT GIFTED-CHILDREN - KOUGH,J",1958.0
THE PRIMARY-SCHOOL SERVES GIFTED-CHILDREN    ,2500.0,THE PRIMARY-SCHOOL SERVES GIFTED-CHILDREN,1958.0
The Parents' Page    ,2501.0,The Parents' Page,1958.0
REACTIONS OF GIFTED ELEMENTARY PUPILS    ,2502.0,REACTIONS OF GIFTED ELEMENTARY PUPILS,1958.0
You Will Want to Read    ,2503.0,You Will Want to Read,1958.0
HELPING GIFTED-CHILDREN    ,2504.0,HELPING GIFTED-CHILDREN,1958.0
HOW CAN GIFTED-CHILDREN BE MOTIVATED TO DO THEIR BEST    ,2505.0,HOW CAN GIFTED-CHILDREN BE MOTIVATED TO DO THEIR BEST,1958.0
The Parents' Page    ,2506.0,The Parents' Page,1958.0
HONORS COLLEGE AT MICHIGAN-STATE-UNIVERSITY    ,2507.0,HONORS COLLEGE AT MICHIGAN-STATE-UNIVERSITY,1958.0
"College of Literature, Science and the Arts University of Michigan    ",2508.0,"College of Literature, Science and the Arts University of Michigan",1958.0
The Gifted Child Programs At the Elementary Level    ,2509.0,The Gifted Child Programs At the Elementary Level,1958.0
"Book Review: EDUCATION FOR THE GIFTED - HAVIGHURST,RJ    ",2510.0,"Book Review: EDUCATION FOR THE GIFTED - HAVIGHURST,RJ",1958.0
You Will Want to Read    ,2511.0,You Will Want to Read,1958.0
ACCELERATION OF THE GIFTED    ,2512.0,ACCELERATION OF THE GIFTED,1958.0
The Parents' Page    ,2513.0,The Parents' Page,1958.0
You Will Want to Read    ,2514.0,You Will Want to Read,1958.0
GUIDANCE LABORATORY FOR SUPERIOR STUDENTS AT THE UNIVERSITY OF WISCONSIN    ,2515.0,GUIDANCE LABORATORY FOR SUPERIOR STUDENTS AT THE UNIVERSITY OF WISCONSIN,1958.0
FLORIDA IS DOING SOMETHING ABOUT THE GIFTED    ,2516.0,FLORIDA IS DOING SOMETHING ABOUT THE GIFTED,1958.0
THE GIFTED-CHILD IN A SUMMER CAMP    ,2517.0,THE GIFTED-CHILD IN A SUMMER CAMP,1958.0
"MARY,KATHERINE    ",2518.0,"MARY,KATHERINE",1958.0
MACMURRAY COLLEGE AND JACKSONVILLE (ILLINOIS) HIGH-SCHOOL COLLABORATE IN PROGRAM FOR SUPERIOR STUDENTS    ,2519.0,MACMURRAY COLLEGE AND JACKSONVILLE (ILLINOIS) HIGH-SCHOOL COLLABORATE IN PROGRAM FOR SUPERIOR STUDENTS,1958.0
SENIOR ENGLISH FOR THE GIFTED    ,2520.0,SENIOR ENGLISH FOR THE GIFTED,1958.0
You Will Want to Read    ,2521.0,You Will Want to Read,1958.0
"Book Review: TEACHING THE BRIGHT AND GIFTED - CUTTS,NE, MOSELEY,N    ",2522.0,"Book Review: TEACHING THE BRIGHT AND GIFTED - CUTTS,NE, MOSELEY,N",1958.0
"Book Review: EDUCATING GIFTED-CHILDREN - DEHAAN,RF, HAVIGHURST,RJ    ",2523.0,"Book Review: EDUCATING GIFTED-CHILDREN - DEHAAN,RF, HAVIGHURST,RJ",1958.0
