kor_full,no,title,year
"초등학생을 위한 사용자 인터페이스의 설계 및 구현   인터넷을 통한 온라인 교육은 수많은 정보의 제공과 시공간 한계의 극복 등 많은 장점을 가지고 있음에도 불구하고, 올바른 인터페이스를 제공하지 못하면 학습자들의 효과적인 학습을 저해할 수 있다. 효과적으로 설계된 인터페이스는 학습자로 하여금 원하는 정보의 정확한 내용을 쉽고, 빠르게 인식할 수 있도록 도움을 줄 수 있다. 본 논문의 목적은 초등학생들에게 적합한 사용자 인터페이스를 설계하고 구현하여 실제 적용함에 있다. 본 논문에서는 먼저 인간과 컴퓨터의 상호작용에 영향을 미치는 요소를 분석하였다. 또한, 국내의 초등학생을 대상으로 한 교육용 사이트의 인터페이스 디자인을 분석하여 온라인 교육 사이트가 학습자의 교육효과를 위해 어떠한 인터페이스 디자인적 요소를 고려하고 있는지를 분석하였다. 마지막으로, 초등학생과 초등학교 교사를 대상으로 한 설문조사를 바탕으로 사용자의 선호도 및 환경을 조사 분석하였다. 분석 결과를 바탕으로, 이론적 고찰을 통해 정의된 사용자 인터페이스 디자인 원칙과 구성요소들을 고려하여 사용자 인터페이스를 설계하고 구현하였다.",340.0,초등학생을 위한 사용자 인터페이스의 설계 및 구현,2007.0
"펜 기반 웹 문서 교정을 위한 모호성 문제 해결에 관한 연구   전자펜을 이용한 문서교정 시스템에서 정확한 교정결과를 보장하기 위해서는 문서 교정자가 드로잉한 교정부호와 문서내용간의 영역 모호성(ambiguity)을 해결하여야 한다. 한편 교정의 대상이 되는 전자문서가 HTML/XML과 같은 경우 교정된 문서구조가 반드시 기 정의된 DTD를 위배하지 않아야 한다. 본 논문에서는 펜 기반의 교정시스템에서 교정부호(마킹)와 대상문서간의 모호성 문제를 최소화하기 위한 기법을 제안한다. 제안 인터페이스에서는 모호성 문제를 최소화하기 위하여 교정부호와 문서간의 컨텍스트(Context)를 반영하였으며 동시에 대상문서의 문서 구조를 유지하기 위한 방법을 제공한다. 그 결과 본 논문에서 제안한 교정 인터페이스는 기존 교정시스템에 비하여 보다 정확한 영역정보를 포함할 수 있으며, 교정부호 입력에 따른 구조문서 변경시에도 원본문서의 DTD에 따르는 문서구조를 유지할 수 있다.",341.0,펜 기반 웹 문서 교정을 위한 모호성 문제 해결에 관한 연구,2007.0
"Hill의 토론 학습 모형을 적용한 웹 기반 토론 학습 시스템 개발   웹 기반 토론 학습은 학습자들을 능동적이고 적극적으로 학습에 참여시킬 수 있으며, 학습자 중심의 활발한 상호작용과 학습 환경을 제공한다. 그러나 기존의 웹 기반 토론 학습을 살펴보면 게시판이나 자료실을 이용한 의사 교환 기능 위주의 학습 환경 조성과 토론 학습의 실태 조사 및 활성화 방안 중심의 연구가 많고, 동적인 토론 과정을 체계적으로 지원하는 시스템은 적은 편이다. 그리고 다양한 웹 기반 수업에서 토론은 부분적으로 혹은 전면적으로 학습자의 활동으로 등장하기는 하지만, 특정한 토론 수업 모형은 개발되어 있지 않은 실정이다. 따라서 대인간 상호작용을 활성화시키고, 토론 수업 모형의 단계와 구성 요소를 구체화한 체계적인 웹 기반 토론 학습 시스템을 개발할 필요성이 있다. 본 연구는 동적인 토론 학습 활동이 이루어질 수 있도록 지원하고, 토론의 단계를 구체적으로 제시한 Hill의 일반적인 토론 학습 모형을 적용하여 체계적인 웹 기반 토론 학습 시스템을 개발하고자 한다.",342.0,Hill의 토론 학습 모형을 적용한 웹 기반 토론 학습 시스템 개발,2007.0
"계층적 군집화 기법을 이용한 소스 코드 표절 검사   인터넷 통신의 발달 및 워드프로세서의 기능 향상으로 인해 일선 교육현장에서의 표절은 심각한 문제가 되고 있다. 본 연구에서는 C, C++, Java 등으로 작성된 프로그램 소스 코드들의 유사도를 측정하는 방법을 제시하고, 소스 코드를 계층적으로 군집화하고 표절 결과를 수형도로 시각화하는 방법을 제시한다. 채점자는 시각화된 수형도를 보고 임계값을 설정하여 표절 그룹을 분리할 수 있다. 실제 데이터에서 효과를 알아보기 위해서 학부 1학년생 컴퓨터 개론 및 실습 과목 강의 중에 제출된 과제물 프로그램을 이용하여 실험해 보았으며, 유용하고 현실성 있는 방법임을 확인하였다.",343.0,계층적 군집화 기법을 이용한 소스 코드 표절 검사,2007.0
"10대 학생들을 위한 온라인 학습 커뮤니티 설계 및 개발 온라인 학습 커뮤니티, 커뮤니티 설계, 커뮤니티 개발, 10대 학생들의 온라인 활동 10대 학생들의 지속적인 인터넷 이용률 상승과 높은 온라인 커뮤니티 참여율을 고려할 때, 그들이 인터넷 이용을 통해 경험할 수 있는 역기능을 최소화하고 긍정적인 경험을 쌓을 수 있도록 지도하는 것이 필요하다. 학생들은 온라인 커뮤니티 활동을 통해서 다양한 사회성을 경험하고, 자아성을 탐색할 수 있다. 그러나 다른 한편으로, 학생들을 대상으로 하는 상당수의 온라인 커뮤니티들이 사회적인 배려와 관심을 제공하지 못하여 학생들의 가치관 혼란이나 잘못된 행동을 유도하기도 한다. 이러한 문제를 고려하여, 본 연구는 10대 학생들의 요구를 수용하면서 동시에 그들의 요구를 학습 활동과 연계할 수 있는 온라인 학습 커뮤니티에 초점을 두고, 활발한 공동체 활동과 학습 활동을 진행할 수 있는 온라인 학습 커뮤니티를 설계하고 개발하였다. 커뮤니티는 운영 취지를 소개하고, 알림방, 요구함 등을 제시하는 ‘e-Tivity소개’, ‘이벤트홀’‘자료파크’‘e-Tivity센터’ 등으로 구성된 커뮤니티 활동 공간, ‘교사연구실’‘관리실’로 구성된 교사와 관리자 공간, ‘My Room'아바타 꾸미기 등의 기능을 제공하는 학생 개인 공간 등으로 구성되었다.",344.0,10대 학생들을 위한 온라인 학습 커뮤니티 설계 및 개발,2007.0
"유비쿼터스 사회에서의 평생학습 활성화 전략 수립을 위한 전문가 의견 조사   본 연구에서는 유비쿼터스 기술 환경 기반의 사회에서, 개개인의 평생학습을 효과적으로 지원할 수 있는 정책방안을 체계적으로 수립하기 위하여 관련 분야 전문가의 의견을 수렴하였다. 이를 위해 본 연구에서는 ‘유비쿼터스’와 ‘평생학습체제’에 대한 개념적 탐색을 기초로 질문문항을 개발하고 관련 분야 전문가들을 선별하여 면담을 실시하였다. 15명의 전문가를 대상으로 심층면담을 실시한 결과, 유비쿼터스 사회에서 평생학습을 활성화하기 위해서는 유비쿼터스 사회상에 대한 개념적 일치 확립, 인프라 구축과 다양한 서비스 개발, 수요에 근거한 풍부한 콘텐츠 확보가 선행되어야 하며, 정보격차 해소 등 유비쿼터스 사회의 역기능에 대한 법적, 제도적 대책 마련이 시급한 것으로 나타났다.",345.0,유비쿼터스 사회에서의 평생학습 활성화 전략 수립을 위한 전문가 의견 조사,2007.0
"수월성 교육을 위한 초등학교 로봇프로그래밍 교육과정 개발과 적용   본 연구는 로봇을 활용한 프로그래밍학습이 초등학생 및 초등영재들에게 창의력 향상에 도움을 주는 과학적인 학습도구라 판단되어 교육과정을 개발하였다. 이를 기초로 교재를 작성하고 현장에 직접 적용하여 그 결과를 분석하였다. 교육과정과 교재의 내용은 다양한 문제 상황에 맞는 로봇을 직접 제작하고 프로그래밍하는 과정(모두 6단계)으로 구분하고 학습수준에 맞게 편집함으로서 초등학생들이 로봇과 프로그래밍에 흥미와 관심을 가질 수 있도록 하였다. 로봇교육을 현장에 적용한 결과 창의성교육 도구로서 긍정적인 학습도구로 평가되었다. 또한, 수월성교육을 위한 학습도구로서 몇 가지 보완해야 할 결론도 함께 얻었다.",346.0,수월성 교육을 위한 초등학교 로봇프로그래밍 교육과정 개발과 적용,2007.0
"이러닝 운영실태 및 만족도 조사   21세기 지식정보화사회에서의 교육패러다임은 단순한 지식습득교육에서 학습자 중심의 지식창출교육으로 전화되어 가고 있다. 이러한 변화에 가장 효과적, 효율적으로 대처할 수 있는 교육방법이 이러닝일 것이다. 본 연구는 부산지역 인력양성기관 70개소와 부산지역 이러닝 학습 유경험자 758명을 대상으로 하여 이러닝 교육기관의 운영실태와 학습자의 만족도를 조사함으로써 향후 학습환경 개선의 시사점을 찾고자 하였다. 먼저 이러닝 운영실태는 학습자 대상의 요구 및 직무분석 실시 여부, 프로그램 개발 시 현장전문가의 참여여부, 학습성취도 및 효과성 측정여부, 프로그램 중도탈락의 주된 원인, 이러닝을 위한 효과적 방안 등의 측면에서 조사가 이루어졌다. 그리고 이러닝 만족도는 가장 도움이 되었던 컨텐츠 분야, 컨텐츠의 내용 및 수준에 관한 의견, 교육비용에 관한 의견, 학습기간 및 학습관리에 관한 의견 등의 측면에서 조사하였다. 본 연구의 결과, 이러닝 운영 및 만족도 수준에서 상당한 긍정적인 인식을 발견할 수 있었지만, 대학(교)과 직업훈련기관(평생교육기관 포함)간의 운영중점의 차이, 50대 이상 연령층의 이러닝 환경에 대한 낮은 이해와 접근도 등에서 개선과제가 존재함을 발견할 수 있었다.",347.0,이러닝 운영실태 및 만족도 조사,2007.0
"정보교육을 위한 ICT 활용 유형의 분석 및 개선안에 관한 연구 ICT 교육, 정보교육, ICT 활용 유형 2000년 교육부에서 제시한『초․중등학교 정보통신기술 운영지침』을 보면 정보탐색하기, 정보 분석하기, 정보안내하기, 웹 토론하기, 협력 연구하기, 전문가와 교류하기, 웹 펜팔하기, 정보 만들기의 8가지 정보통신기술 활용 유형을 제시하고 있다. 하지만 본 연구 결과 교사들이 이 8유형에 대해 실제 ICT 활용에 대한 근본적 접근이 어려우며, 교사들 역시 수업에 이 유형을 적용하기가 어렵다고 느끼고 있음을 분석하였다. 따라서 본 연구는 향후 정보교육의 정상적인 운영을 위해 기본적인 ICT활동 유형부터 개선하고 정보 과학을 기반으로 구체적 활용 유형에 대해 제시하였다. 그리고 교사들의 의견을 통하여 개발된 활동유형이 타당성이 있음을 제시하였다. 본 연구는 향후 교사들이 ICT활용에 있어서 실제적인 도움을 주고 정보과학을 토대로 개발된 점을 고려하여 정보교육의 발전에 도움을 줄 것으로 기대된다.",348.0,정보교육을 위한 ICT 활용 유형의 분석 및 개선안에 관한 연구,2007.0
"개념적 알고리즘에 기반 한 컴퓨터 알고리즘 교육의 방향   최근 컴퓨터 교육에서 프로그래밍에 대한 관심이 높아지고 있다. 학습에서 논리력과 창의력의 요구가 늘어나고 있는 추세에 힘입어 컴퓨터 교육 분야에서도 프로그래밍 학습을 통한 논리력과 창의력을 함양하려는 다양한 시도가 이루어지고 있다. 프로그램은 알고리즘을 컴퓨터 언어로 구현한 것이므로 문제해결의 핵심은 논리적 해결 방법의 고안 즉, 알고리즘의 고안에 있다. 알고리즘의 중요성을 인식한다면 이제 알고리즘 교육에 대한 방향 정립을 위한 체계적 연구가 필요한 시점에 와 있다고 볼 수 있다. 지금까지 주로 정렬, 탐색과 같은 특정 문제를 중심으로 한 문제 종속적이고 개별적인 알고리즘 학습을 강조해 왔다. 본 논문에서는 문제 독립적, 집단적 성질을 고려하는 문제 해결의 개념적 유형이라는 관점에서 개념적 알고리즘(conceptual algorithm)을 정의한다. 개념적 알고리즘의 유형적 특성을 바탕으로 개별적, 문제 종속적인 기존의 알고리즘 교육과 구분되는 체계적, 문제 독립적, 알고리즘적인 문제 해결력을 지향하는 알고리즘 교육의 새로운 방향을 제안한다.",349.0,개념적 알고리즘에 기반 한 컴퓨터 알고리즘 교육의 방향,2007.0
