eng_full,no,title,year
A SURVEY OF HIGHLY SUCCESSFUL SPACE SCIENTISTS CONCERNING EDUCATION FOR GIFTED AND TALENTED STUDENTS    ,1182.0,A SURVEY OF HIGHLY SUCCESSFUL SPACE SCIENTISTS CONCERNING EDUCATION FOR GIFTED AND TALENTED STUDENTS,1983.0
A COLLABORATIVE PROGRAM FOR DEVELOPING TEACHERS OF GIFTED AND TALENTED STUDENTS    ,1183.0,A COLLABORATIVE PROGRAM FOR DEVELOPING TEACHERS OF GIFTED AND TALENTED STUDENTS,1983.0
COUNSELING THE GIFTED AND TALENTED FEMALE ADOLESCENT - THE RELATIONSHIP BETWEEN SOCIAL SELF-ESTEEM AND TRAITS OF INSTRUMENTALITY AND EXPRESSIVENESS    ,1184.0,COUNSELING THE GIFTED AND TALENTED FEMALE ADOLESCENT - THE RELATIONSHIP BETWEEN SOCIAL SELF-ESTEEM AND TRAITS OF INSTRUMENTALITY AND EXPRESSIVENESS,1983.0
WRITING AND THE GIFTED-CHILD    ,1185.0,WRITING AND THE GIFTED-CHILD,1983.0
LEARNING CHARACTERISTICS OF VERBALLY GIFTED STUDENTS    ,1186.0,LEARNING CHARACTERISTICS OF VERBALLY GIFTED STUDENTS,1983.0
A DEVELOPMENTAL-STUDY OF YOUNG GIFTED CHILDRENS CONDITIONAL REASONING ABILITY    ,1187.0,A DEVELOPMENTAL-STUDY OF YOUNG GIFTED CHILDRENS CONDITIONAL REASONING ABILITY,1983.0
AT THE AGE OF 6 I GAVE UP A MAGNIFICENT CAREER AS A PAINTER - 70 YEARS OF RESEARCH ABOUT IDENTIFYING STUDENTS WITH SUPERIOR ABILITIES IN THE VISUAL-ARTS    ,1188.0,AT THE AGE OF 6 I GAVE UP A MAGNIFICENT CAREER AS A PAINTER - 70 YEARS OF RESEARCH ABOUT IDENTIFYING STUDENTS WITH SUPERIOR ABILITIES IN THE VISUAL-ARTS,1983.0
QUESTIONING DIRECTIONS FOR THE INTELLECTUALLY GIFTED    ,1189.0,QUESTIONING DIRECTIONS FOR THE INTELLECTUALLY GIFTED,1983.0
"Book review: ASSESSMENT IN GIFTED EDUCATION - KARNES,F, COLLINS,E    ",1190.0,"Book review: ASSESSMENT IN GIFTED EDUCATION - KARNES,F, COLLINS,E",1983.0
SEARCHING FOR STUDENT TALENT RESOURCES RELEVANT TO OUR USDE TYPES OF GIFTEDNESS    ,1191.0,SEARCHING FOR STUDENT TALENT RESOURCES RELEVANT TO OUR USDE TYPES OF GIFTEDNESS,1983.0
"A STUDY OF STUDENT, PARENT, AND TEACHER ATTITUDES TOWARD GIFTED PROGRAMS AND GIFTED STUDENTS    ",1192.0,"A STUDY OF STUDENT, PARENT, AND TEACHER ATTITUDES TOWARD GIFTED PROGRAMS AND GIFTED STUDENTS",1983.0
CONSTRUCTING EDUCATIONAL BRIDGES BETWEEN HIGH-SCHOOL AND COLLEGE    ,1193.0,CONSTRUCTING EDUCATIONAL BRIDGES BETWEEN HIGH-SCHOOL AND COLLEGE,1983.0
EFFECTS OF THE USE OF A WRITING SCALE BY GIFTED PRIMARY STUDENTS    ,1194.0,EFFECTS OF THE USE OF A WRITING SCALE BY GIFTED PRIMARY STUDENTS,1983.0
STUDENT AND TEACHER PERCEPTIONS OF PREFERRED TEACHER BEHAVIORS AMONG THE ACADEMICALLY GIFTED    ,1195.0,STUDENT AND TEACHER PERCEPTIONS OF PREFERRED TEACHER BEHAVIORS AMONG THE ACADEMICALLY GIFTED,1983.0
THE SOI AS AN IDENTIFICATION TOOL FOR THE GIFTED - WINDFALL OR WASHOUT    ,1196.0,THE SOI AS AN IDENTIFICATION TOOL FOR THE GIFTED - WINDFALL OR WASHOUT,1983.0
IDENTIFYING THE GIFTED - A THEORY-PRACTICE GAP    ,1197.0,IDENTIFYING THE GIFTED - A THEORY-PRACTICE GAP,1983.0
PROFILES OF PRECOCITY - THE 1982 MIDWEST TALENT SEARCH FINALISTS    ,1198.0,PROFILES OF PRECOCITY - THE 1982 MIDWEST TALENT SEARCH FINALISTS,1983.0
WHAT SCHOOLING FOR THE GIFTED    ,1199.0,WHAT SCHOOLING FOR THE GIFTED,1983.0
"TEACHER-PUPIL RATIOS, INSTRUCTIONAL-TIME AND EXPENDITURE ESTIMATES FOR 3 ADMINISTRATIVE STRATEGIES FOR EDUCATING GIFTED STUDENTS    ",1200.0,"TEACHER-PUPIL RATIOS, INSTRUCTIONAL-TIME AND EXPENDITURE ESTIMATES FOR 3 ADMINISTRATIVE STRATEGIES FOR EDUCATING GIFTED STUDENTS",1983.0
READING CURRICULUM FOR GIFTED READERS - A SURVEY    ,1201.0,READING CURRICULUM FOR GIFTED READERS - A SURVEY,1983.0
EDUCATIONAL AND OCCUPATIONAL ATTAINMENTS IN 2 INTELLECTUALLY GIFTED SAMPLES    ,1202.0,EDUCATIONAL AND OCCUPATIONAL ATTAINMENTS IN 2 INTELLECTUALLY GIFTED SAMPLES,1983.0
