eng_full,no,title,year
Gifted Child Quarterly's Special Issue on Twice-Exceptionality: Progress on the Path of Empirical Understanding Introduction    ,165.0,Gifted Child Quarterly's Special Issue on Twice-Exceptionality: Progress on the Path of Empirical Understanding Introduction,2013.0
"A Model for Screening Twice-Exceptional Students (Gifted With Learning Disabilities) Within a Response to Intervention Paradigm twice-exceptional; special populations; underserved gifted; identification; assessment; definition and; or conception of giftedness; talent; reading; curriculum; mathematics; curriculum The purpose of this article is to present a model for screening for twice-exceptional status (i.e., gifted students who have a learning disability). Curriculum-based measures (Monitoring Instructional Responsiveness: Reading and Monitoring Instructional Responsiveness: Math) were administered to 1,242 third-grade students within a Response to Intervention paradigm. When gifted status is tentatively defined as high performance (i.e., 84th percentile and higher) on a Monitoring Instructional Responsiveness reading probe, 5.48% of students exhibited deficits in (math) performance consistent with a significant discrepancy between reading and math (i.e., reading score - math score); 4.83% exhibited a discrepancy in reading (i.e., math score - reading). These values are based on observed scores using the following formula to define a discrepancy: 1.5(SD) x SEe. Only 2.1% exhibited a math discrepancy and 1.13% a reading discrepancy based on predicted scores, which takes regression to the mean into account. Using various cut score criteria, practitioners can select from less than 1% to about 10% for screening purposes. When using predicted (rather than observed) scores and more stringent cut score criteria, percentages decline, as expected. Recommendations for using this process for screening are provided, as are implications for best practice, particularly the impact of using more or less conservative criteria for screening twice exceptional students.",166.0,A Model for Screening Twice-Exceptional Students (Gifted With Learning Disabilities) Within a Response to Intervention Paradigm,2013.0
"Differences Between Children With Dyslexia Who Are and Are Not Gifted in Verbal Reasoning twice-exceptional; reading; elementary; middle school New findings are presented for children in Grades 1 to 9 who qualified their families for a multigenerational family genetics study of dyslexia (impaired word decoding/spelling) who had either superior verbal reasoning (n = 33 at or above 1 2/3 standard deviation, superior or better range; 19% of these children) or average verbal reasoning (n = 31 below population mean but above -2/3 standard deviation, average range; 18% of these children). Evidence-based rationale and results supporting the tested hypotheses are provided: (a) twice exceptional students with superior verbal reasoning and dyslexia significantly outperformed those with average verbal reasoning and dyslexia on reading, spelling, morphological, and syntactic skills, (b) but not on verbal working memory behavioral markers of genetically based dyslexia related to impaired phonological and orthographic word-form storage and processing, naming orthographic symbols (phonological loop), writing orthographic symbols (orthographic loop), and supervisory attention (focus, switch, sustain, or monitor attention). Superior verbal reasoning may mask dyslexia if only very low achievement is used to identify this disorder of oral word reading and written spelling. Instruction for twice exceptional students who have dyslexia, but are also verbally gifted, should focus not only on oral word reading and written spelling but also on the impaired working memory components within intellectually engaging lesson sets. These findings for gifted students with dyslexia are situated within the broader context of the many kinds of twice exceptionalities related to specific learning disabilities that exist in school-age children and youth.",167.0,Differences Between Children With Dyslexia Who Are and Are Not Gifted in Verbal Reasoning,2013.0
"Creativity and Working Memory in Gifted Students With and Without Characteristics of Attention Deficit Hyperactive Disorder: Lifting the Mask creativity; twice-exceptional; special populations; underserved gifted There have been some behavioral indicators and some types of task performance that suggest greater creativity in students with attention deficit hyperactive disorder (ADHD). This evidence would appear counterintuitive given that lower working memory (i.e., holding information in mind for novel recombinations) has often been documented in students with ADHD. Thus, the purpose of this study was to assess working memory and creativity in two groups of gifted students (i.e., with characteristics of ADHD, n = 17, and without ADHD characteristics, n = 20), who were equivalent in fluid intelligence. Significant differences were found indicating that gifted students with ADHD characteristics had not only poorer working memory but also significantly greater creativity than those gifted students without these characteristics. These results were discussed in terms of creative potential, which could serve as an identifier and as a pathway to instruction.",168.0,Creativity and Working Memory in Gifted Students With and Without Characteristics of Attention Deficit Hyperactive Disorder: Lifting the Mask,2013.0
"Twice-Exceptional Learners' Perspectives on Effective Learning Strategies twice-exceptional learner; learning strategies; school experiences; qualitative; survey This mixed-methods study investigates the perspectives of twice-exceptional students on learning strategies that have been recommended for them in the literature. Have the strategies recommended in the literature been implemented? Do students perceive the strategies to be beneficial in helping them learn? Participants represented a broad range of coexisting exceptionalities and ranged in age from 10 to 23 years. While mainly qualitative, this study was informed by a survey adapted from the Possibilities for Learning survey. Qualitative in-depth interviews provided rich descriptions of which learning strategies were facilitators and barriers. Findings indicated that participants perceived that their overall school experiences failed to assist them in learning to their potential, although they were able to use their strengths to circumvent their weaknesses. Implications for teachers included allowing twice-exceptional learners more ownership over their learning and more choice and flexibility in topic, method of learning, assessment, pace, and implementation of group collaboration.",169.0,Twice-Exceptional Learners' Perspectives on Effective Learning Strategies,2013.0
"The Influence of Primary Caregivers in Fostering Success in Twice-Exceptional Children twice-exceptional children; academic success; parents Using grounded theory, this study investigated primary caregivers' perceptions of the role they play in influencing the academic success of students formally identified as twice-exceptional. Data from interviews were coded and analyzed for themes. Results indicated that primary caregivers (mothers) perceived that they played a major role in the academic success of their twice-exceptional children, first by recognizing their children's gifts as well as disabilities and then by assuming responsibility for the development of their children's potential. They sought professional evaluations, provided or secured educational supports, shaped their children's healthy perceptions of their disabilities, and taught them how to advocate for themselves while simultaneously maintaining high expectations for their children, despite their disabilities. Implications of the findings are discussed, and areas for future research are outlined.",170.0,The Influence of Primary Caregivers in Fostering Success in Twice-Exceptional Children,2013.0
"Twice-Exceptional Learners: Who Needs to Know What? multivariate analyses; quantitative methodologies; assessment; twice-exceptional; special populations; underserved gifted Twice-exceptionality is gaining increasing recognition in the gifted education literature but little is understood about the knowledge and awareness of this concept within the educational and psychological community, or about professionals' experience working with this population of learners. Three-hundred and seventeen individuals completed an online Twice-Exceptional Needs Assessment, which consisted of 14 questions assessing issues pertaining to twice-exceptionality knowledge and experience, as well as knowledge of policies relevant to both gifted and special education. Results indicated that educators were more familiar with standards within their specific area of expertise (e.g., gifted or special education) and that fewer professionals were familiar with the use of Response to Intervention with twice-exceptional children. Gifted education professionals had significantly more knowledge and experience with twice-exceptionality than did professionals in other domains. We conclude with implications for educators and recommendations for expanding professional understanding of twice-exceptionality outside the field of gifted education to meet twice-exceptional students' multifaceted needs.",171.0,Twice-Exceptional Learners: Who Needs to Know What?,2013.0
"Characteristics Leading Teachers to Nominate Secondary Students as Gifted in Spain teacher; nomination; gifted; secondary education; Spain What are the characteristics leading teachers to nominate gifted students in Spain? To answer this question, several demographic (i.e., gender, grade) and psychological (i.e., multiple intelligences, emotional intelligence, intellectual aptitude, and divergent thinking) characteristics of 563 secondary students nominated as gifted by their teachers were analyzed. Results showed a general gifted profile of the nominated students defined by higher scores in their naturalist and social intelligences, stress management, and verbal, mechanical, and spatial reasoning. Additional analysis indicated that students' gender and grade also influenced teachers' nominations of gifted students. Based on the associations among the demographic and psychological characteristics included in this study, nominated students could be classified in five specific gifted profiles, namely, moderately gifted students, social-emotionally gifted students, artistically gifted students, intellectually gifted students, and generally gifted students. Discussion of the limitations of the study, directions for future research, and educational implications of the study are provided.",172.0,Characteristics Leading Teachers to Nominate Secondary Students as Gifted in Spain,2013.0
"What Are the Odds of That? A Primer on Understanding Logistic Regression quantitative methodologies; policy; policy analysis; assessment The purpose of this Methodological Brief is to present a brief primer on logistic regression, a commonly used technique when modeling dichotomous outcomes. Using data from the National Education Longitudinal Study of 1988 (NELS:88), logistic regression techniques were used to investigate student-level variables in eighth grade (i.e., enrolled in a gifted class, gender, and socioeconomic status) that were associated with taking an Advanced Placement course in the 10th grade. Through the use of the NELS:88 data, the authors provide an example of how to interpret both categorical and continuous independent variables and illustrate how model fit can be assessed.",173.0,What Are the Odds of That? A Primer on Understanding Logistic Regression,2013.0
"Three Paradigms of Gifted Education: In Search of Conceptual Clarity in Research and Practice definition and; or conception of giftedness; talent; programming; service delivery models; philosophical; theoretical The purpose of the article is to articulate and compare three major approaches or paradigms of gifted education, so that researchers and practitioners can be more explicit about their assumptions, goals, and educational strategies in their research and practice. We first define the term paradigm, and then delineate three paradigms in the historical context. We then compare and contrast the three paradigms to elucidate their continuities and discontinuities. Finally, we discuss the importance of articulating the paradigmatic nature of approaches for educational and research purposes. The ultimate purpose of articulating the distinct approaches is to seek a common research agenda with clarity, rigor, and relevance.",174.0,Three Paradigms of Gifted Education: In Search of Conceptual Clarity in Research and Practice,2013.0
