eng_full,no,title,year
From the Editor    ,545.0,From the Editor,2000.0
Gifted children with Asperger's syndrome   Asperger's Syndrome is a pervasive developmental disorder characterized by deficits in social communication and by repetitive patterns of behaviors or interests. It is observed in some gifted children. The author proposes that gifted children with Asperger's Syndrome may not be identified because their unusual behaviors may be wrongly attributed to either their giftedness or to a learning disability. The article discusses ways in which Asperger's Syndrome might be missed in gifted children and proposes guidelines for differentiating characteristics of giftedness from characteristics of Asperger's Syndrome.,546.0,Gifted children with Asperger's syndrome,2000.0
"Gifted and gay: A study of the adolescent experience   A retrospective study of the adolescent experience of 18 gay, lesbian, or bisexual young adults with high ability (12 males, 6 females) using a postpositivistic mode of inquiry found significant themes of danger, isolation, depression and suicidal ideation, together with high achievement and extreme involvement in activities, in their narrative responses to an extended questionnaire. Participants described personal responses to wondering about sexual orientation, being convinced , and eventually coming out, and the effects on school and family relationships. Half reported awareness by the end of elementary school, and almost all were convinced by grade 11. Most participants offered suggestions for educators in general and for those involved in gifted programs, and many of the suggestions have implications for staff development.",547.0,Gifted and gay: A study of the adolescent experience,2000.0
"Dissociation and integration of talent development and personal growth: Comments and suggestions   This article is a response to Grant and Piechoswki's (1999) article regarding the tension between two aspects of gifted education: talent development and personal growth. We believe that dissociation of these two aspects is conditional, not a constant state of affairs. We identify those contingencies and processes that are responsible for the dissociation. We also believe that integration of these two perspectives is not only possible, but crucial for the well-rounded development of persons who have been the targeted populations of special services for the gifted and talented. One way to achieve this integration is to reconceptualize talent, achievement/success, and productivity in a way that illuminates the intrinsic connections between talent development and personal growth.",548.0,Dissociation and integration of talent development and personal growth: Comments and suggestions,2000.0
"Wisdom as a form of giftedness   This article describes an important, yet largely neglected, kind of giftedness, namely, wisdom. First, the article discusses how giftedness is identified currently. Second, the article presents an alternative view based on a balance theory of wisdom. The theory is described, and it is shown why the theory offers a useful way of conceptualizing wisdom. Finally, the article concludes that, given the state of the world, we should have a strong incentive to identify and develop wisdom as a form of giftedness.",549.0,Wisdom as a form of giftedness,2000.0
"Gifted dropouts: The who and the why   Two studies were conducted to obtain comprehensive information about gifted high school dropouts and to examine factors that are related to their dropout behavior using the Dropout and Student questionnaires of the National Education Longitudinal Study of 1988 (NELS:88). The results indicted that many gifted dropouts were from low socioeconomic-status families and racial minority groups; had parents with low levels of education; and participated less in extracurricular activities. Also, reasons for gifted male dropouts were more related to economic issues, while reasons for gifted female dropouts were more related to personal issues, although both males and females were likely to offer school-related reasons. The logistic regression analysis results indicated that dropout behavior for gifted students was significantly related to students' educational aspirations, pregnancy or child-rearing, gender, father's highest level of education, and mother's highest level of education.",550.0,Gifted dropouts: The who and the why,2000.0
Talent development III: Proceedings from the 1995 Henry B. and Jocelyn Wallace National Research Symposium on Talent Development.    ,551.0,Talent development III: Proceedings from the 1995 Henry B. and Jocelyn Wallace National Research Symposium on Talent Development.,2000.0
From the Editor    ,552.0,From the Editor,2000.0
"The underachievement of gifted students: What do we know and where do we go?   The process of defining underachievement, identifying underachieving gifted students, and explaining the reasons for this underachievement continues to stir controversy among practitioners, researchers, and clinicians. Despite this interest, the underachievement of gifted students remains an enigma. This article reviews and analysis three decades of research on the underachievement of gifted students in an attempt to clarify the present state of research. The problems inherent in defining and identifying underachieving gifted students are given special attention. The authors also include suggestions for those interested in pursuing potentially promising new lines of research and inquiry in this area.",553.0,The underachievement of gifted students: What do we know and where do we go?,2000.0
"Scrutinizing common sense: The role of practical intelligence in intellectual giftedness   Predicted on Sternberg's conception of practical intelligence, this study examined the practical abilities of intellectually gifted adolescents in order to investigate the extent practical abilities relate to academic abilities . Two questionnaires were administered to 296 gifted and mainstream eight graders from Singapore. Clinical interviews provided insights into students' tacit understanding of self so as to shed some light on practical abilities that may underlie broad notions of success. Results indicated a marginal association between practical and academic a marginal association between practical and academic abilities and suggest that academically gifted children are no different from mainstream children in the solution of practical problems. regardless of academic ability, children high in practical intelligence displayed a height-ended sense of self and a keener awareness of the hidden curriculum, school smartness, and successful adaptation to environments, true common sense must point toward a need to help children reach for a gestalt in making meaning of their lives.",554.0,Scrutinizing common sense: The role of practical intelligence in intellectual giftedness,2000.0
"Temperament-based learning styles of identified gifted and nongifted students   Learning style preferences of 1,554 students identified as gifted and nongifted students, ages 8 to 17, were measured using the Student Styles Questionnaire (SSQ). Students identified as gifted and nongifted students did not differ significantly on extroverted-introverted, organized-flexible, and thinking-feeling styles. Students identified as gifted displayed a stronger preference for imaginative styles, while nongifted children displayed a stronger preference for practical styles. Gender differences were significant. Boys displayed a stronger preference for flexible and thinking styles while girls displayed a stronger preference for organized and feeling styles. Two gifted-by-gender interactions also wer significant. Compared with boys identified, girls identified as gifted were more likely tp prefer imaginative styles. Furthermore, although boys generally expressed a stronger preference for thinking than feeling, non-gifted boys expressed a stronger preference for thinking than did boys identified as gifted.",555.0,Temperament-based learning styles of identified gifted and nongifted students,2000.0
