eng_full,no,title,year
"George Betts: Scholar, Leader, and Advocate for the Social and Emotional Development of Gifted and Talented Students Obituary    ",26.0,"George Betts: Scholar, Leader, and Advocate for the Social and Emotional Development of Gifted and Talented Students Obituary",2019.0
"Inequities of Enrollment in Gifted Education: A Statewide Application of the 20% Equity Allowance Formula gifted education; multicultural; equity; identification; Bayesian Underrepresentation in gifted education for ethnically diverse student groups has been widely recognized. Two recent federal district court decisions defined the lower limits of equitable participation using the 20% equity allowance formula proposed by Donna Ford. The purpose of this article was to evaluate the application of the 20% rule to identify the prevalence of inequity and associated variables in Texas gifted education programs. Using data from the Office of Civil Rights and Texas Education Agency, the authors applied the 20% rule to demographics of K-12 gifted education programs in Texas to identify inequity and used Bayesian regression with district characteristics to investigate contributing factors of inequity. Only 282 of 994 (28.4%) districts met equity standards for Hispanic students. Second, Bayesian regressions with district-level characteristics of students, teachers, and expenditures were used to identify factors associated with inequitable enrollment of Hispanic students. Overall, the model accounted for 12.9% variance (R-2 = 0.129, 95% highest density interval [0.095, 0.170]), with increasing variance explained by district subsets (i.e., city, suburb, town, rural). Furthermore, the results of the regression models revealed the percentage of Hispanic and White teachers were inversely associated with inequity across all district subsets. It is postulated that the mechanism of inequity is in the teacher referral process, frequently used as a determinant of gifted education enrollment. The authors suggest means of addressing this reality.",27.0,Inequities of Enrollment in Gifted Education: A Statewide Application of the 20% Equity Allowance Formula,2019.0
"The Effects of Academic Giftedness and Gender on Developmental Trajectories of Hopelessness Among Students Living in Economically Disadvantaged Neighborhoods gender; giftedness; hopelessness; poverty; growth curve modeling; longitudinal Although there is much research on adolescent poverty, research related to youth living in communities characterized by extreme poverty who are also identified as academically gifted is lacking. This study explores the development of hopelessness in these youths, compared with peers not identified as gifted, using data from the Mobile Youth and Poverty Study. Specifically, trajectories of hopelessness as a function of gifted status and gender are explored. Results indicate that boys experience greater feelings of hopelessness than girls, regardless of their gifted status, and students identified as gifted have lower levels of hopelessness than their peers not identified as gifted. These latter differences are particularly pronounced during early adolescence (age 10 years) but decline over time and largely disappear by later adolescence (age 18 years). Results suggest that boys may be particularly vulnerable to declining effects of gifted classification as a protector against hopelessness across age and that disadvantaged students who are identified as gifted may benefit from gifted programs that continue at an intense level through their high school years.",28.0,The Effects of Academic Giftedness and Gender on Developmental Trajectories of Hopelessness Among Students Living in Economically Disadvantaged Neighborhoods,2019.0
"Machine Learning in Gifted Education: A Demonstration Using Neural Networks gifted education; supervised learning; neural networks Machine learning algorithms are used in language processing, automated driving, and for prediction. Though the theory of machine learning has existed since the 1950s, it was not until the advent of advanced computing that their potential has begun to be realized. Gifted education is a field where machine learning has yet to be utilized, even though one of the underlying problems of gifted education is classification, which is an area where learning algorithms have become exceptionally accurate. We provide a brief overview of machine learning with a focus on neural networks and supervised learning, followed by a demonstration using simulated data and neural networks for classification issues with a practical explanation of the mechanics of the neural network and associated R code. Implications for gifted education are then discussed. Finally, the limitations of supervised learning are discussed. Code used in this article can be found at",29.0,Machine Learning in Gifted Education: A Demonstration Using Neural Networks,2019.0
"Who Gets Served in Gifted Education? Demographic Representation and a Call for Action equity; underrepresentation; assessment; gifted The disproportional representation of students from various demographic subgroups within identified gifted and talented populations has long frustrated policy makers, education advocates, researchers practitioners within the field, and those concerned with societal inequality in general. Despite the prevalence of articles in the media reporting on disproportional representation, little research has been conducted to track whether (a) the representation of these student subgroups, particularly students with limited English proficiency or students with disabilities, has changed over time or (b) states with and without policies differ in proportional representation of students identified with gifts and talents. For example, increasingly, gifted education advocates have pushed for mandates that all students be screened for gifted program eligibility as a way to combat disproportionality, despite little evidence that such methods influence proportionality. Therefore, this study sought to understand whether and how state and national gifted program demographics have changed over time and how proportionality is correlated with state mandates for gifted education identification or services. A preprint of this paper as well as additional figures are available at: .",30.0,Who Gets Served in Gifted Education? Demographic Representation and a Call for Action,2019.0
"What Boosts Talent Development? Examining Predictors of Academic Growth in Secondary School Among Academically Advanced Youth Across 21 Years academically gifted; academic talent We examined 482,418 students who took the ACT in the seventh grade and again in high school, taking an exploratory analytic approach to examine academic growth trends from 1996 to 2017. Predictors included sociodemographics, interests, high school (HS) characteristics, HS coursework and GPA, and extracurriculars, which explained 25% of the variance in academic growth. Overall, growth improved from 2005 to 2017, but growth for low-income and Hispanic students was stagnant. Catholic and private school students had the highest growth; homeschooled and high-poverty public school students had the lowest. High growth was associated with STEM (science, technology, engineering, mathematics) elective HS courses and advanced AP, accelerated, and honors courses. Students with investigative and conventional interests had higher growth. Some extracurriculars had significant relationships with academic growth, though the effects were small.",31.0,What Boosts Talent Development? Examining Predictors of Academic Growth in Secondary School Among Academically Advanced Youth Across 21 Years,2019.0
"Presenting a Qualitative Study: A Reviewer's Perspective qualitative research; new researchers; researcher bias; approaches; trustworthiness Intended to guide scholars who are new to qualitative research, this methods brief focuses mostly on what reviewers look for in manuscripts submitted for publication. The author acknowledges that reviewers' preferences likely reflect their theoretical perspectives, research-oriented coursework, mentors, and research and writing experiences. The emphasis, therefore, is on terminology and basic elements that apply across a broad range of qualitative approaches. Discussion also addresses researcher inclinations toward qualitative inquiry; the importance of fit among approach, purpose, and research questions; the need for manuscript authors to identify potential researcher bias and explain how it was monitored; and the necessity of including and describing other elements that contribute to trustworthiness. Examples from journals in the field represent a wide range of research types, foci, and data sources.",32.0,Presenting a Qualitative Study: A Reviewer's Perspective,2019.0
"On Deciding to Accelerate: High-Ability Students Identify Key Considerations acceleration; group concept mapping; gifted; student beliefs; high-ability students; student voice Acceleration is a well-researched educational intervention supporting positive outcomes for high-ability students. However, access to acceleration may be restricted due to educators' misapprehensions about this practice. To better understand whether students share educators' concerns, our study explored 26 high-ability students' beliefs about important considerations in grade-based acceleration. Seventeen high-ability students who had accelerated (age 9-14 years) participated in group concept mapping activities, which involved sorting and rating a list of student-generated considerations. We applied multidimensional scaling and hierarchical cluster analysis to the sorted data to create a structured conceptualization of students' advice on deciding to accelerate. Our analyses revealed the following six key concepts, from most to least important: (a) Best Learning Environment, (b) Child's Preferences, (c) Abilities Across Different Subjects, (d) Peer Group, (e) Context and School Support, and (f) Social Considerations. Our interpretations include comparison of high-ability students' advice to existing acceleration guidelines. Practical implications are discussed.",33.0,On Deciding to Accelerate: High-Ability Students Identify Key Considerations,2019.0
"Giftedness in the Making: A Transactional Perspective definition and; or conception of giftedness; talent; philosophical; theoretical; history; inclusion; egalitarianism; symbolic interactionism; social construct; affordance; self-knowledge; ecological psychology Over the past century, strong applications of psychometrics have resulted in an ideology and practices of identification in the field of gifted education. In recent years, an alternative ideology that construes giftedness in an inclusive light and promotes democratic practices has emerged. This ideology posits a new meaning-making system of giftedness that is process-based rather than person-based. In this article, we elaborate some conceptual principles of this emerging ideology. First, we reflect on the nature of giftedness as a social construct using a symbolic interactionist perspective and articulate the dialectical evolution of collective meanings of giftedness. Second, we address the interdependency between an individual and a context when it comes to helping students realize their giftedness. Third, we accentuate a growth orientation and outline the importance of considering giftedness as a process-based entity. Furthermore, we provide a T:CAD conception of giftedness along with ideas for transaction-focused practices that aim to encourage the rendering of this emerging ideology in practice.",34.0,Giftedness in the Making: A Transactional Perspective,2019.0
"From A (Aggression) to V (Victimization): Peer Status and Adjustment Among Academically Gifted Students in Early Adolescence peers; social; emotional; adolescents; academically gifted; path analysis Peer status is an important indicator and predictor of adjustment. While gifted children tend to enjoy favorable peer status, their social functioning during adolescence is less clear. The current study seeks to enhance this understanding by examining both preference- and reputation-based peer status of gifted adolescents. Peer nominations were used to assess the peer status, aggression, victimization, and prosocial leadership of 327 public school seventh graders (44% male; 42% White). School records provided giftedness information, course grade, and standardized test scores, and substance use was self-reported. Gifted students were viewed as less aggressive and more prosocial and had higher academic achievement than nonidentified students. Giftedness moderated the peer status-adjustment relationship. Rejection related to higher victimization and test scores, but these associations were most exaggerated for gifted students. Popularity positively related to aggression and substance use; however, the associations were greatly attenuated for gifted students. Findings underscore the heterogeneity of gifted adolescents' social experiences.",35.0,From A (Aggression) to V (Victimization): Peer Status and Adjustment Among Academically Gifted Students in Early Adolescence,2019.0
