eng_full,no,title,year
"Predictors of Attitudes to Gifted Programs/Provisions: Evidence From Preservice Educators giftedness; attitudes; gifted programs; gifted provisions; cultural orientation; power distance; elitism This study investigated whether a number of cultural orientation, sociodemographic, academic achievement, and personal/personal experience variables predict attitudes toward the provision of special programs/provisions for gifted students. Surveys completed by 241 Australian preservice teachers were analyzed using confirmatory factor analyses and multiple regression analyses. The findings suggest that (a) low power distance orientation, contact with gifted persons, and older age predict support for special gifted programs/provisions and (b) the lack of prior experience of an advanced/extended curriculum in a regular classroom and younger age predict the perception that special gifted programs/provisions are elitist.",141.0,Predictors of Attitudes to Gifted Programs/Provisions: Evidence From Preservice Educators,2014.0
"Social Understanding of High-Ability Children in Middle and Late Childhood high-ability children; theory of mind; perception accuracy; cognitive ability; peer acceptance Despite its importance in social development, social understanding has hardly been studied in high-ability children. This study explores differences in social understanding between children in high-ability and regular classrooms, specifically theory of mind (ToM) and perception accuracy, as well as associations between individual characteristics (age, gender, peer acceptance, and cognitive ability) and social understanding. Participants were 671 children in Grades 1 to 6 (55% boys; M age 9.20 years). Children in high-ability classrooms had higher ToM scores in Grades 1 to 3 and were more accurate perceivers of acceptance than children in regular classrooms. No group differences were found for ToM in Grades 4 to 6. ToM was associated with several individual characteristics, in particular age and cognitive ability. Perception accuracy was mainly related to peer acceptance. Suggestions for future research and implications for practitioners are discussed.",142.0,Social Understanding of High-Ability Children in Middle and Late Childhood,2014.0
"Evaluating the Efficacy of Using Predifferentiated and Enriched Mathematics Curricula for Grade 3 Students: A Multisite Cluster-Randomized Trial mathematics; differentiated curricula; enriched curricula; Grade 3 students; multilevel model; cluster randomized trial Despite the potential of differentiated curricula to enhance learning, limited research exists that documents their impact on Grade 3 students of all ability levels. To determine if there was a difference in achievement between students involved in 16 weeks of predifferentiated, enriched mathematics curricula and students using their district's curricula, we conducted a multisite cluster-randomized control trial with 43 schools in 12 states. A series of three-level models, using pre- and postachievement test data, failed to show a main effect for treatment, but the results suggested a treatment by achievement-level interaction that was moderated by the achievement level of the school. As a result, the highest achieving students in the lower achieving schools seemed to receive the greatest benefit from the treatment curricula. An analysis of researcher-developed unit tests revealed that treatment students successfully learned and applied the curricula's challenging mathematics. Thus, using the predifferentiated and enriched mathematics curricula with heterogeneous ability students appeared to do no harm-students who completed the treatment curricula did as well as their control counterparts, on average. Evidence of its achievement-related benefits is more ambiguous; however, the findings do suggest some benefits for the highest achieving students in lower achieving schools.",143.0,Evaluating the Efficacy of Using Predifferentiated and Enriched Mathematics Curricula for Grade 3 Students: A Multisite Cluster-Randomized Trial,2014.0
"Implementing Enrichment Clusters in Elementary Schools: Lessons Learned Schoolwide Enrichment Model; enrichment clusters; Renzulli; authentic learning Enrichment clusters offer a way for schools to encourage a high level of learning as students and adults work together to develop a product, service, or performance by applying advanced knowledge and authentic processes to real-world problems. This study utilized a qualitative research design to examine the perceptions and experiences of two enrichment specialists who led the implementation of enrichment clusters in their schools. The perceptions of the participants hold particular value, as the success of clusters depends heavily on the ability of the specialist to effectively plan and organize clusters so that they meet the needs of administrators, teachers, students, and parents. Findings indicated that the participants felt that clusters were worthwhile, despite the time and effort required for implementation. A number of factors were considered critical for the success of clusters, including time and money, teachers as facilitators, focusing on student interests, and planning for rules, routines, and procedures. In addition, the participants identified several ways in which clusters were adapted in order to meet the needs of the school. The study indicates implications, and limitations of these findings are also discussed.",144.0,Implementing Enrichment Clusters in Elementary Schools: Lessons Learned,2014.0
"The Impact of Direct Involvement I and Direct Involvement II Experiences on Secondary School Students' Social Capital, as Measured by Co-Cognitive Factors of the Operation Houndstooth Intervention Theory character education; gifted education; Operation Houndstooth Intervention Theory; OHIT; Renzulli; social capital A mixed-methods study grounded in Renzulli's Operation Houndstooth Intervention Theory examined the impact of different types of volunteer experiences on the six co-cognitive factors (Optimism, Courage, Romance With a Topic/Discipline, Sensitivity to Human Concerns, Physical/Mental Energy, and Vision/Sense of Destiny) associated with the development of social capital in high school students. Results indicated that volunteer experiences, which encourage students' selection of and active involvement with community-based projects, may positively affect Physical/Mental Energy. Also, allowing students face-to-face time with dissimilar volunteer recipients may positively affect Sensitivity to Others. Implications for educators and researchers are discussed.",145.0,"The Impact of Direct Involvement I and Direct Involvement II Experiences on Secondary School Students' Social Capital, as Measured by Co-Cognitive Factors of the Operation Houndstooth Intervention Theory",2014.0
"Through a Different Lens: Reflecting on a Strengths-Based, Talent-Focused Approach for Twice-Exceptional Learners twice-exceptional; middle school age; high school age; social and/or emotional development and adjustment This study sought to understand the experiences of a cohort of students who entered a strengths-based private school for twice-exceptional students during middle school and successfully completed graduation requirements. Using a case study design, the researchers analyzed data collected from student and teacher interviews, parent focus groups, educational records, and psychological reports. Findings indicate areas of change and development across cognitive, emotional/behavioral, and social domains and identified five factors underlying student growth: psychological safety, tolerance for asynchrony, time, positive relationships, and the consistent use of a strengths-based, talent-focused philosophy. Data also revealed four benefits from the talent development opportunities offered by the school. Participating in talent development activities enabled students to become part of a social group; to overcome some social, emotional, and cognitive challenges in context; to develop ongoing mentor and professional relationships with people in talent areas; and to develop expertise in an area of talent. This research supports the incorporation of a strengths-based, talent-focused approach for twice-exceptional learners.",146.0,"Through a Different Lens: Reflecting on a Strengths-Based, Talent-Focused Approach for Twice-Exceptional Learners",2014.0
"Laurence J. Coleman December 18, 1941-September 5, 2013 In Memoriam    ",147.0,"Laurence J. Coleman December 18, 1941-September 5, 2013 In Memoriam",2014.0
"James J. Gallagher June 11, 1926-January 17, 2014 In Memoriam    ",148.0,"James J. Gallagher June 11, 1926-January 17, 2014 In Memoriam",2014.0
"The Validity of the Achievement-Orientation Model for Gifted Middle School Students: An Exploratory Study structural equation modeling; underachievers; middle school; student motivation Gifted underachievement represents a frustrating loss of potential for society. Although attempts have been made to develop interventions to reverse gifted underachievement, the theoretical underpinnings of these interventions have yet to be empirically validated. The purpose of this study was to investigate the validity of the Achievement-Orientation Model for gifted middle school students. Based on a sample of 156 gifted sixth- and seventh-grade mathematics students, results of the current study suggest two unique clusters of gifted students, those whose attitudes toward each of the model's constructs are positive and those who attitudes are not as positive. Furthermore, results of a path analysis demonstrate that most of the relationships posited by the model do appear to exist. The findings of this study suggest that the Achievement-Orientation Model may hold promise for the development of interventions to address gifted underachievement.",149.0,The Validity of the Achievement-Orientation Model for Gifted Middle School Students: An Exploratory Study,2014.0
"An Operational Definition of Twice-Exceptional Learners: Implications and Applications twice exceptional; gifted/LD; definition of giftedness and learning disability In this article, a new definition of twice-exceptional children is proposed. In addition to introducing this new definition, the authors provide a research-based rationale for the definition, offer a clear profile of twice-exceptional youth, and summarize the development of new programs and practices to enable these students to develop their gifts while simultaneously compensating for their deficits.",150.0,An Operational Definition of Twice-Exceptional Learners: Implications and Applications,2014.0
