eng_full,no,title,year
From the editor    ,453.0,From the editor,2003.0
"Partnerships in science learning: Museum outreach and elementary gifted education   The purpose of this study was to investigate the impact of a specially designed museum science program on academically gifted elementary students. The program focused on inquiry-based activities that paralleled the work of museum scientists. A pre- and postattitude questionnaire and a parental questionnaire were used to investigate changes in (a) attitude toward science careers, (b) understanding of scientific work and scientists, and (c) content knowledge gains of participant. A version of the Draw-a-Scientist Test (DAST) was incorporated to gauge student perceptions of scientific work. After participation, students indicated a greater understanding of science careers and an increased desire to explore careers in science. Student questionnaire and an illustration analysis identified an increase in participants' content knowledge and understanding of scientific work. Parental questionnaires supported these findings.",454.0,Partnerships in science learning: Museum outreach and elementary gifted education,2003.0
"Turning the looking glass inside out: A gifted student in an at-risk setting   This qualitative study occurred in as multigrade classroom of 3rd, 4th and 5th graders in a school labelled at-risk. The focal student in this study was Kirby, identified in this setting as a gifted student. Kirby's classroom teacher and a university researcher collaborated in data collection that included interviews, classroom observations, a teacher journal, artifacts, and analysis over a 3-year period that was centered on literacy learning and teaching. It was discovered that the open-ended, flexible learning and teaching that occurred in the classroom benefited Kirby's learning as well as that of the other children in the classroom. Additionally, Kirby benefited from the rich literacy environment that was established by his mother.",455.0,Turning the looking glass inside out: A gifted student in an at-risk setting,2003.0
"Characteristics of effective teachers of gifted students: Teacher background and personality styles of students   This study was designed to explore the characteristics of exceptional teachers of gifted students. Participants included 63 teachers and 1,247 highly able students. Teachers responded to 2 measures: a background questionnaire and the Myers Briggs Type Inventory (MBTI), a self-report personality inventory. Students also completed the MBTI. In response to the background questionnaire, the majority of teachers reported holding advanced degrees in a content area; most were not certified to teach and reported completing no formal coursework in gifted education. Results from the MBTI indicated that exemplary teachers were more likely to prefer N (intuition) and T (thinking), sa compared to a normative teacher sample. The personality types of teachers were in many ways similar to the personality types of the students. These findings suggest that teachers who are judged to be highly effective in working with gifted students prefer abstract themes and concepts, are open and flexible, and value local analysis and objectivity. Results suggest that teacher personality and cognitive style may play a role in his or her effectiveness in teaching gifted students.",456.0,Characteristics of effective teachers of gifted students: Teacher background and personality styles of students,2003.0
"Barriers to aspiration development and self-fulfillment: Interdisciplinary insights for talent discovery   There is increasing concern about the plight of under-privileged gifted and talented children. Insights from disciplines outside our field can inform educators of the gifted about what hinders talent development among the deprived. A model synthesizing constructs from ethical philosophy, sociology and education reveals socioeconomic barriers to aspiration development, capacity development, and self-fulfillment. Various hypothetical life trajectories on the model illustrate the influences of these barriers on long-range talent development towards self-fulfillment and either egotistic individualism or relational altruism. Implications for gifted education include the need for more ethical awareness in the field and more realistic appraisals of hindrances to aspiration formation among the deprived.",457.0,Barriers to aspiration development and self-fulfillment: Interdisciplinary insights for talent discovery,2003.0
"Effects of service learning on young, gifted adolescents and their community   This study examines the effects of the Community Action service learning project, part of the Learn and Serve America program, on gifted adolescents and their community. Using a case study design, the author investigates this service learning project grounded in creative problem solving. The importance of service learning to the participants is high-lighted in the following themes that emerged from the data: instructional methodology, student development, attitudes, empowerment, commitment, and effects of celebration. A service learning typology based on levels of service and learning is referenced. The author examines connections to the Future Problem Solving Program and discusses the implications for further research, the education of the gifted, and the community.",458.0,"Effects of service learning on young, gifted adolescents and their community",2003.0
And still we rise: The trials of twelve gifted inner-city students.    ,459.0,And still we rise: The trials of twelve gifted inner-city students.,2003.0
From the Editor    ,460.0,From the Editor,2003.0
"To no longer educate the gifted: Programming for gifted students beyond the era of inclusionism   For many educators, the goal of tprograms for the gifted is ''the education of identified gifted students.'' This article argues that this goal makes gifted and talented (GT) programs vulnerable to discontinuation and relegates gifted children to inclusionary, regular classrooms where their needs are rarely met. To avoid these possibilities, the goal of GT should be reformulated to ''the development of gifted young adults.'' This goal has several advantages, including the possibility of a more enriched curriculum and a more diverse group of children with higher creative productive potential. It also includes the overt recognition that these children require both differentiated instruction and specialized guidance to acquire a measure of expertise, establish a strong sense of self, and make personally satisfying career choices. The Growing Giftedness model presented would have GT students work more closely with adults and with one another than the inclusionary model or part-time gifted programs can allow. In addition this model adumbrates the elements of a full-time program.",461.0,To no longer educate the gifted: Programming for gifted students beyond the era of inclusionism,2003.0
"Diagnosis of ADHD among gifted children in relation to KEDI-WISC and TOVA performance   The following study was conducted to evaluate the correlation between intelligence and a Continuous Performance Test (CPT) that assesses. Attention Deficit Hyperactivity Disorder (ADHD) in children. Characteristics of attention in gifted children with ADHD were also investigated. A sample of 177 elementary school students was studied, and their attention was measured with the Test of Variables of Attention (T.O.V.A.). About 9.4% of the gifted children were identified with ADHD using the T.O.V.A.) About 9.4% of the gifted children were identified with ADHD using the T.O.V.A., Child Behavior Check List (CBCL) and Teacher's Report Form (TRF). Significant positive correlations were found between intelligence (KEDI-WISC) and omission error, commision error, and response time (RT) variability on the T.O.V.A. That is, children with a high level of intelligence made fewer omission and commision errors and responded more consistently on the T.O.V.A. than children with lower intelligence. No significant correlation was found between intelligence and response time. Overall, gifted children performed better on the T.O.V.A. than nongifted children. Specifically, with the exception of response time variably, gifted children with ADHD performed better on tasks of omission error, commission error, and response sensitivity than nongifted children with ADHD. Further discussions are suggested based on the results mentioned above.",462.0,Diagnosis of ADHD among gifted children in relation to KEDI-WISC and TOVA performance,2003.0
