eng_full,no,title,year
What Gifted Disadvantaged Children Can Teach Their Teachers    ,1794.0,What Gifted Disadvantaged Children Can Teach Their Teachers,1973.0
"Reflections of the Gifted By the Gfited on the Gifted: (Grades Five, Six and Seven)    ",1795.0,"Reflections of the Gifted By the Gfited on the Gifted: (Grades Five, Six and Seven)",1973.0
"Performance Contracting, Programmed Learning and Behavior Modification May Inhibit Learning of the Gifted    ",1796.0,"Performance Contracting, Programmed Learning and Behavior Modification May Inhibit Learning of the Gifted",1973.0
"Synectics, a Creative Problem-Solving Technique for the Gifted    ",1797.0,"Synectics, a Creative Problem-Solving Technique for the Gifted",1973.0
How Misleading the Fifty Years? A Reply To Jacobs    ,1798.0,How Misleading the Fifty Years? A Reply To Jacobs,1973.0
Dr. Jacobs Replies To Dr. Graves: Is Graves Necessary?    ,1799.0,Dr. Jacobs Replies To Dr. Graves: Is Graves Necessary?,1973.0
Reasons Cited By College Students in Teacher Training for Taking an Elective Course On the Education of the Gifted    ,1800.0,Reasons Cited By College Students in Teacher Training for Taking an Elective Course On the Education of the Gifted,1973.0
Gifted Child Emeritus: John Owen Sanderlin    ,1801.0,Gifted Child Emeritus: John Owen Sanderlin,1973.0
"The Self-Concept of Gifted Children Grows Through Freedom of Choice, Freedom of Movement and Freedom To Do What Is Right    ",1802.0,"The Self-Concept of Gifted Children Grows Through Freedom of Choice, Freedom of Movement and Freedom To Do What Is Right",1973.0
"Gifted Teacher, Know Thyself    ",1803.0,"Gifted Teacher, Know Thyself",1973.0
"Sentics, Kirlian Photography, and Psychosomatic Illness    ",1804.0,"Sentics, Kirlian Photography, and Psychosomatic Illness",1973.0
Book Review    ,1805.0,Book Review,1973.0
Parent Perspective    ,1806.0,Parent Perspective,1973.0
"Editorial: The Enigma of Giftedness, Creativity, and Courage for Boys and Girls    ",1807.0,"Editorial: The Enigma of Giftedness, Creativity, and Courage for Boys and Girls",1973.0
Dear NAGC    ,1808.0,Dear NAGC,1973.0
A Personal Communication From E. Paul Torrance    ,1809.0,A Personal Communication From E. Paul Torrance,1973.0
"Books, Tests, and Instructional Materials    ",1810.0,"Books, Tests, and Instructional Materials",1973.0
"A Word of Tribute for E. Paul Torrance, One of the World's Leading Researchers, and His Wife    ",1811.0,"A Word of Tribute for E. Paul Torrance, One of the World's Leading Researchers, and His Wife",1973.0
A Pocketful of Poetry    ,1812.0,A Pocketful of Poetry,1973.0
The Lost Ones-the Gifted    ,1813.0,The Lost Ones-the Gifted,1973.0
Family Background Factors and Originality in Children    ,1814.0,Family Background Factors and Originality in Children,1973.0
Neglecting the Gifted Causes Them To Hide Their Talents: Let's Stop Shortchanging Our Gifted Children    ,1815.0,Neglecting the Gifted Causes Them To Hide Their Talents: Let's Stop Shortchanging Our Gifted Children,1973.0
Utilizing Community Resources in Programming for the Gifted    ,1816.0,Utilizing Community Resources in Programming for the Gifted,1973.0
Send Up More Sputniks    ,1817.0,Send Up More Sputniks,1973.0
An Open Letter To Readers of the Gifted Child Quarterly and Members of the National Association for Gifted Children    ,1818.0,An Open Letter To Readers of the Gifted Child Quarterly and Members of the National Association for Gifted Children,1973.0
English Educator Studying the Gifted Reports On His Visit To America    ,1819.0,English Educator Studying the Gifted Reports On His Visit To America,1973.0
"New Happenings At the National Association for Gifted Children: 8080 Springvalley Drive, Cincinnati, Ohio 45236    ",1820.0,"New Happenings At the National Association for Gifted Children: 8080 Springvalley Drive, Cincinnati, Ohio 45236",1973.0
The Pre-School Gifted Child    ,1821.0,The Pre-School Gifted Child,1973.0
"Book Review: Kraus, P. E. YESTERDAY'S CHILDREN (A Longitudinal Study of Children from Kindergarten into the Adult Years). New York: Wiley, 1973    ",1822.0,"Book Review: Kraus, P. E. YESTERDAY'S CHILDREN (A Longitudinal Study of Children from Kindergarten into the Adult Years). New York: Wiley, 1973",1973.0
