eng_full,no,title,year
"Mindset Misconception? Comparing Mindsets, Perfectionism, and Attitudes of Achievement in Gifted, Advanced, and Typical Students gifted; mindset; perfectionism; achievement attitudes; achievement motivation; implicit theories of intelligence; conceptions of ability The study compared mindset beliefs, perfectionism, and achievement attitudes among gifted, advanced, and typical students in Grades 6 to 8 (N = 416) and explored the relationship between these variables. Welch's F tests revealed no statistically significant difference in growth or fixed mindset beliefs about intelligence among groups. Gifted and advanced students scored higher on Personal Standards (gifted, d = 0.68; advanced, d = 0.62) and Academic Self-Perception (gifted,d = 0.72; advanced, d = 0.58) compared with typical students. In hierarchical regression models, giftedness was a statistically significant predictor for Concern over Mistakes ( = 0.20) and Personal Standards ( = 0.27); both gifted ( = 0.31) and advanced ( = 0.17) status were statistically significant predictors for Academic Self-Perception. Various models showed a positive association between growth mindset and Positive Strivings Perfectionism and achievement attitudes and a positive association between fixed mindset and Evaluative Concerns Perfectionism. Findings suggest that gifted students are not more vulnerable to develop fixed mindsets.",45.0,"Mindset Misconception? Comparing Mindsets, Perfectionism, and Attitudes of Achievement in Gifted, Advanced, and Typical Students",2018.0
"Predictors of Success Among High School Students in Advanced Placement and International Baccalaureate Programs accelerated curricula; high school students; risk and resiliency factors; student success Research has shown that students in Advanced Placement (AP) classes and International Baccalaureate (IB) programs experience higher levels of stress compared to students in general education classes. Elevated stress can serve as a risk factor for students' academic and mental health problems. Given the documented stress of these students, additional investigations are needed to more fully understand how students experience these curricula and the factors associated with positive student outcomes. Thus, we set out to identify factors associated with success among AP/IB students, with an emphasis on exploring potentially malleable factors that could be targeted with existing or newly developed interventions. Data were collected via self-report measures and school records from 2,379 students (Grades 9-12) enrolled in AP or IB in 20 school programs in one state. We examined the relationships among 34 predictors (e.g., stressors, coping styles, student engagement, family factors, school factors, and demographic features) of success. Success was represented by five outcomes in two domains: mental health (life satisfaction, psychopathology, school burnout) and academic (GPA, AP/IB exam scores). Better outcomes in both domains were associated with higher levels of achievement motivation and cognitive engagement, as well as lower levels of parent-child conflict, stress from major life events, and use of avoidance coping strategies. Higher levels of affective engagement, use of approach coping, and authoritative parenting were robust predictors of positive mental health outcomes and unrelated (in multivariate analyses) to academic outcomes. Findings have implications for subsequent development of intervention efforts targeting factors associated with student success.",46.0,Predictors of Success Among High School Students in Advanced Placement and International Baccalaureate Programs,2018.0
"A Call for Open Science in Giftedness Research preregistration; replication; reproducibility; replication crisis; p-hacking; questionable research practices (QRPs); HARKing; open science; open data; open materials; registered report Current practices in study design and data analysis have led to low reproducibility and replicability of findings in fields such as psychology, medicine, biology, and economics. Because gifted education research relies on the same underlying statistical and sociological paradigms, it is likely that it too suffers from these problems. This article discusses the origin of the poor replicability and introduces a set of open science practices that can increase the rigor and trustworthiness of gifted education's scientific findings: preregistration, open data and open materials, registered reports, and preprints. Readers are directed to Internet resources for facilitating open science. To model these practices, a pre peer-review preprint of this article is available at https://psyarxiv.com/nhuv3/.",47.0,A Call for Open Science in Giftedness Research,2018.0
"Structured Observation Instruments Assessing Instructional Practices With Gifted and Talented Students: A Review of the Literature evaluation; differentiation; professional development; teacher preparation Teaching and learning are part of a complex interaction between teachers and students. Educational leaders cannot improve the teaching and learning process without quality measurement of effective teaching. One way to capture this complex interaction is by using structured observations. However, the extant literature on classroom observation instruments in the field of gifted education is limited. For that reason, a systematic search was undertaken to identify the observation instruments for assessing instructional practices used with gifted and talented students. In this article, eight observation instruments were identified: (a) Rating Scale of Significant Behaviors in Teachers of the Gifted, (b) Kulieke's adaptation of the Rating Scale of Significant Behaviors in Teachers of the Gifted, (c) Teaching Observation Form (TOF; also known as Purdue Observation Form), (d) Classroom Practices Record (CPR), (e) Classroom Practices Record-Form VA (CPR-Form VA), (f) Classroom Instructional Practices Scale (CIPS), (g) Classroom Observation Scales-Revised (COS-R), and (h) Differentiated Classroom Observation Scale (DCOS). The instruments are described in terms of developmental process, purpose, and any reliability and validity evidence reported. This systematic search has shown the need for a new observation instrument that is comprehensive and closely tied to professional standards.",48.0,Structured Observation Instruments Assessing Instructional Practices With Gifted and Talented Students: A Review of the Literature,2018.0
"Nothing Fits Exactly: Experiences of Asian American Parents of Twice-Exceptional Children high ability; gifted; disability; twice-exceptional; culturally diverse families; Asian American parents; parents Parents of high-ability students with disabilities (i.e., twice-exceptional) play a crucial role in their children's home and educational environments. In addition, parents' sociocultural contexts, including race and ethnicity, can influence their parenting practice. We conducted interviews with 10 Asian American parents from diverse ethnic backgrounds and analyzed the interview transcripts by using a phenomenological framework and general inductive approach. Themes identified included the parents' recognition of and reaction to twice-exceptionality, challenges and efforts in supporting their children, and perception of their sociocultural contexts in relation to parenting practices. The Asian American parents in this study developed resilient parenting styles and persistent advocacy efforts as they navigated the complex characteristics of twice-exceptionality within their multilayered cultural contexts. Findings are particularly important for practitioners and educators who work with Asian American parents and/or high-ability children with disabilities to better address their complex needs.",49.0,Nothing Fits Exactly: Experiences of Asian American Parents of Twice-Exceptional Children,2018.0
"Comparing Metacognition Assessments of Mathematics in Academically Talented Students Junior Metacognition Awareness Inventory; mathematics achievement; metacognition; problem solving; scale development Two studies were conducted to examine and compare the construct validity of scores on the Junior Metacognition Awareness Inventory (JMAI) and problem-solving interview protocols. Participants consisted of 183 middle and high school students attending a university summer program for academically talented youth. Study 1 results indicated that JMAI scores were internally consistent and yielded an interpretable two-factor structure after the elimination of several items; however, the scores were not significantly or meaningfully related to GPA or current and future mathematics achievement. In Study 2 (n = 30), JMAI scores did not predict students' metacognitive behaviors during mathematics problem-solving tasks. In contrast, students' metacognitive behaviors observed during problem solving were meaningfully related to mathematics achievement with medium to high effect sizes. Findings support the predictive validity of metacognition with regard to academic achievement when operationalized with problem-solving interviews, but call into question the criterion-related validity of JMAI scores.",50.0,Comparing Metacognition Assessments of Mathematics in Academically Talented Students,2018.0
"Environmental Perceptions of Gifted Secondary School Students Engaged in an Evidence-Based Enrichment Practice gifted secondary school students; environmental perceptions; enrichment; Type III enrichment Grounded in the Achievement Orientation Model, this qualitative case study examines participation in enrichment and environmental perceptions of gifted secondary school students. Participants included 10 gifted secondary school students, their parents, and their classroom teacher. Data included student, parent, and teacher responses in semistructured interviews, short answer surveys, and student work. Findings indicated a relationship between participation in enrichment and environmental perceptions. Student participants benefited from a teacher trained in gifted education who nurtured both affective and cognitive development, homogeneous grouping with like-minded peers, involved parents, and relationships with project mentors. These findings have implications for designing learning environments that effectively support the special needs of gifted secondary school learners.",51.0,Environmental Perceptions of Gifted Secondary School Students Engaged in an Evidence-Based Enrichment Practice,2018.0
"Alexinia Young BaldwinPioneer, Innovator, and Activist in the Field of Gifted Education and Human Rights: Waiting for a Train    ",52.0,"Alexinia Young BaldwinPioneer, Innovator, and Activist in the Field of Gifted Education and Human Rights: Waiting for a Train",2018.0
"Using the Cognitive Abilities Test (CogAT) 7 Nonverbal Battery to Identify the Gifted/Talented: An Investigation of Demographic Effects and Norming Plans Cognitive Abilities Test; identification; nonverbal; school-level norming; group-specific norming; opportunity to learn The nonverbal battery of the Cognitive Abilities Test (CogAT) is one of the two most common nonverbal measures used in gifted identification, yet the relationships between demographic variables and CogAT7 performance has not yet been fully examined. Additionally, the effect of using the CogAT7 nonverbal battery on the identification of diverse demographic groups based on various norming, cutoff, and modifier plans has only just begun to be explored. In this study, we analyzed the CogAT7 nonverbal battery scores of kindergartners from a very large urban school district with a high minority, low socioeconomic status, and high English language learner population to determine the relationships between demographic variables and CogAT performance. The results suggest relationships between CogAT scores and multiple demographic variables, similar to other nonverbal instruments. We also examined the effects of various norming practices, including school-level and group-specific norming, on identification using the CogAT7 nonverbal battery.",53.0,Using the Cognitive Abilities Test (CogAT) 7 Nonverbal Battery to Identify the Gifted/Talented: An Investigation of Demographic Effects and Norming Plans,2018.0
"A Meta-Analysis of Gifted and Talented Identification Practices gifted; identification; equitability; testing; underrepresentation; Black; Hispanic; Native American Researchers consider the underrepresentation of Black, Hispanic, and Native American students is largely due to the use of traditional methods of identification (i.e., IQ and standardized achievement tests). To address this concern, researchers created novel nontraditional identification methods (e.g., nonverbal tests, student portfolios, affective checklists). This meta-analysis of 54 studies, consisting of 85 effect sizes representing 191,287,563 students, provides evidence that nontraditional identification methods, while able to narrow the proportional identification gap between underrepresented (Black, Hispanic, and Native American) and represented (Asian and White American) populations, are still unable to address the issue of education inequity. An overall risk ratio of 0.34 was calculated for nontraditional methods of identification in comparison with a 0.27 risk ratio for traditional methods. While the nontraditional methods help identify more underrepresented students as gifted, the results of this meta-analysis show that better identification methods are needed to address inequities in identification.",54.0,A Meta-Analysis of Gifted and Talented Identification Practices,2018.0
