eng_full,no,title,year
EDITORIAL    ,1662.0,EDITORIAL,1975.0
THE VIEW FROM MYOPIA    ,1663.0,THE VIEW FROM MYOPIA,1975.0
"Book review: AFFECTIVE DOMAIN IN EDUCATION - RINGNESS,TA    ",1664.0,"Book review: AFFECTIVE DOMAIN IN EDUCATION - RINGNESS,TA",1975.0
"Book review: DEVELOPMENT OF PSYCHEDELIC INDIVIDUAL - GOWAN,JC    ",1665.0,"Book review: DEVELOPMENT OF PSYCHEDELIC INDIVIDUAL - GOWAN,JC",1975.0
ACADEMICALLY TALENTED PROJECT - GATEWAY TO PRESENT    ,1666.0,ACADEMICALLY TALENTED PROJECT - GATEWAY TO PRESENT,1975.0
UTILIZING DIVERGENT PRODUCTION MATRIX OF STRUCTURE-OF-INTELLECT MODEL IN DEVELOPMENT OF TEACHING STRATEGIES    ,1667.0,UTILIZING DIVERGENT PRODUCTION MATRIX OF STRUCTURE-OF-INTELLECT MODEL IN DEVELOPMENT OF TEACHING STRATEGIES,1975.0
BEHAVIORAL IDENTIFICATION OF GIFTED CHILDREN    ,1668.0,BEHAVIORAL IDENTIFICATION OF GIFTED CHILDREN,1975.0
GIFTED CHILD IN AFFECTIVE DOMAIN    ,1669.0,GIFTED CHILD IN AFFECTIVE DOMAIN,1975.0
IMAGINATION IMAGERY OF CHILDREN AND PRODUCTION OF ANALOGY    ,1670.0,IMAGINATION IMAGERY OF CHILDREN AND PRODUCTION OF ANALOGY,1975.0
IMPLEMENTING A DIFFERENTIAL SCHOOL PROGRAM FOR GIFTED    ,1671.0,IMPLEMENTING A DIFFERENTIAL SCHOOL PROGRAM FOR GIFTED,1975.0
"Criterion Scorecard for Evaluating of Gifted Child in-Service Programs: (An adaptation of The California Criterion Scorecard for Evaluation of Gifted Child Programs, Gowan, 1965.)    ",1672.0,"Criterion Scorecard for Evaluating of Gifted Child in-Service Programs: (An adaptation of The California Criterion Scorecard for Evaluation of Gifted Child Programs, Gowan, 1965.)",1975.0
